operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetAllianceLeadContact,/#X-Amz-Target=PartnerCentralAccount.GetAllianceLeadContact,POST,,,,"Catalog,Identifier",Retrieves the alliance lead contact information...,alliance_lead_contacts,get_alliance_lead_contact,select,,,,,
PutAllianceLeadContact,/#X-Amz-Target=PartnerCentralAccount.PutAllianceLeadContact,POST,,,,"AllianceLeadContact,Catalog,Identifier",Creates or updates the alliance lead contact in...,alliance_lead_contacts,put_alliance_lead_contact,replace,,,,,
AssociateAwsTrainingCertificationEmailDomain,/#X-Amz-Target=PartnerCentralAccount.AssociateAwsTrainingCertificationEmailDomain,POST,,,,"Catalog,Email,EmailVerificationCode,Identifier",Associates an email domain with AWS training an...,aws_training_certification_email_domains,associate_aws_training_certification_email_domain,exec,,,,,
DisassociateAwsTrainingCertificationEmailDomain,/#X-Amz-Target=PartnerCentralAccount.DisassociateAwsTrainingCertificationEmailDomain,POST,,,,"Catalog,DomainName,Identifier",Removes the association between an email domain...,aws_training_certification_email_domains,disassociate_aws_training_certification_email_domain,exec,,,,,
GetConnection,/#X-Amz-Target=PartnerCentralAccount.GetConnection,POST,,,,"Catalog,Identifier",Retrieves detailed information about a specific...,connections,get_connection,select,,,,,
GetConnectionInvitation,/#X-Amz-Target=PartnerCentralAccount.GetConnectionInvitation,POST,,,,"Catalog,Identifier",Retrieves detailed information about a specific...,connection_invitations,get_connection_invitation,select,,,,,
AcceptConnectionInvitation,/#X-Amz-Target=PartnerCentralAccount.AcceptConnectionInvitation,POST,,,,"Catalog,ClientToken,Identifier",Accepts a connection invitation from another pa...,connection_invitations,accept_connection_invitation,exec,,,,,
CancelConnectionInvitation,/#X-Amz-Target=PartnerCentralAccount.CancelConnectionInvitation,POST,,,,"Catalog,ClientToken,Identifier",Cancels a pending connection invitation before ...,connection_invitations,cancel_connection_invitation,exec,,,,,
CreateConnectionInvitation,/#X-Amz-Target=PartnerCentralAccount.CreateConnectionInvitation,POST,,,,"Catalog,ClientToken,ConnectionType,Email,Message,Name,ReceiverIdentifier",Creates a new connection invitation to establis...,connection_invitations,create_connection_invitation,insert,,,,,
ListConnectionInvitations,/#X-Amz-Target=PartnerCentralAccount.ListConnectionInvitations,POST,,,,Catalog,Lists connection invitations for the partner ac...,connection_invitations,list_connection_invitations,select,$.ConnectionInvitationSummaries,,,,
RejectConnectionInvitation,/#X-Amz-Target=PartnerCentralAccount.RejectConnectionInvitation,POST,,,,"Catalog,ClientToken,Identifier",Rejects a connection invitation from another pa...,connection_invitations,reject_connection_invitation,exec,,,,,
GetConnectionPreferences,/#X-Amz-Target=PartnerCentralAccount.GetConnectionPreferences,POST,,,,Catalog,Retrieves the connection preferences for a part...,connection_preferences,get_connection_preferences,select,,,,,
UpdateConnectionPreferences,/#X-Amz-Target=PartnerCentralAccount.UpdateConnectionPreferences,POST,,,,"AccessType,Catalog,Revision",Updates the connection preferences for a partne...,connection_preferences,update_connection_preferences,update,,,,,
