operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetAwsOpportunitySummary,/#X-Amz-Target=AWSPartnerCentralSelling.GetAwsOpportunitySummary,POST,,,,"Catalog,RelatedOpportunityIdentifier",Retrieves a summary of an AWS Opportunity. This...,aws_opportunity_summaries,get_aws_opportunity_summary,select,,,,,
GetEngagement,/#X-Amz-Target=AWSPartnerCentralSelling.GetEngagement,POST,,,,"Catalog,Identifier",Use this action to retrieve the engagement reco...,engagements,get_engagement,select,,,,,
ListEngagementByAcceptingInvitationTasks,/#X-Amz-Target=AWSPartnerCentralSelling.ListEngagementByAcceptingInvitationTasks,POST,,,,Catalog,"Lists all in-progress, completed, or failed Sta...",engagement_by_accepting_invitation_tasks,list_engagement_by_accepting_invitation_tasks,select,$.TaskSummaries,,,,
StartEngagementByAcceptingInvitationTask,/#X-Amz-Target=AWSPartnerCentralSelling.StartEngagementByAcceptingInvitationTask,POST,,,,"Catalog,ClientToken,Identifier",This action starts the engagement by accepting ...,engagement_by_accepting_invitation_tasks,start_engagement_by_accepting_invitation_task,exec,,,,,
CreateEngagementContext,/#X-Amz-Target=AWSPartnerCentralSelling.CreateEngagementContext,POST,,,,"Catalog,ClientToken,EngagementIdentifier,Payload,Type",Creates a new context within an existing engage...,engagement_contexts,create_engagement_context,insert,,,,,
UpdateEngagementContext,/#X-Amz-Target=AWSPartnerCentralSelling.UpdateEngagementContext,POST,,,,"Catalog,ContextIdentifier,EngagementIdentifier,EngagementLastModifiedAt,Payload,Type",Updates the context information for an existing...,engagement_contexts,update_engagement_context,update,,,,,
ListEngagementFromOpportunityTasks,/#X-Amz-Target=AWSPartnerCentralSelling.ListEngagementFromOpportunityTasks,POST,,,,Catalog,"Lists all in-progress, completed, or failed `En...",engagement_from_opportunity_tasks,list_engagement_from_opportunity_tasks,select,$.TaskSummaries,,,,
StartEngagementFromOpportunityTask,/#X-Amz-Target=AWSPartnerCentralSelling.StartEngagementFromOpportunityTask,POST,,,,"AwsSubmission,Catalog,ClientToken,Identifier",Similar to `StartEngagementByAcceptingInvitatio...,engagement_from_opportunity_tasks,start_engagement_from_opportunity_task,exec,,,,,
GetEngagementInvitation,/#X-Amz-Target=AWSPartnerCentralSelling.GetEngagementInvitation,POST,,,,"Catalog,Identifier",Retrieves the details of an engagement invitati...,engagement_invitations,get_engagement_invitation,select,,,,,
AcceptEngagementInvitation,/#X-Amz-Target=AWSPartnerCentralSelling.AcceptEngagementInvitation,POST,,,,"Catalog,Identifier",Use the `AcceptEngagementInvitation` action to ...,engagement_invitations,accept_engagement_invitation,exec,,,,,
CreateEngagementInvitation,/#X-Amz-Target=AWSPartnerCentralSelling.CreateEngagementInvitation,POST,,,,"Catalog,ClientToken,EngagementIdentifier,Invitation",This action creates an invitation from a sender...,engagement_invitations,create_engagement_invitation,insert,,,,,
ListEngagementInvitations,/#X-Amz-Target=AWSPartnerCentralSelling.ListEngagementInvitations,POST,,,,"Catalog,ParticipantType",Retrieves a list of engagement invitations sent...,engagement_invitations,list_engagement_invitations,select,$.EngagementInvitationSummaries,,,,
RejectEngagementInvitation,/#X-Amz-Target=AWSPartnerCentralSelling.RejectEngagementInvitation,POST,,,,"Catalog,Identifier",This action rejects an `EngagementInvitation` t...,engagement_invitations,reject_engagement_invitation,exec,,,,,
ListEngagementMembers,/#X-Amz-Target=AWSPartnerCentralSelling.ListEngagementMembers,POST,,,,"Catalog,Identifier",Retrieves the details of member partners in an ...,engagement_members,list_engagement_members,select,$.EngagementMemberList,,,,
ListEngagementResourceAssociations,/#X-Amz-Target=AWSPartnerCentralSelling.ListEngagementResourceAssociations,POST,,,,Catalog,Lists the associations between resources and en...,engagement_resource_associations,list_engagement_resource_associations,select,$.EngagementResourceAssociationSummaries,,,,
CreateEngagement,/#X-Amz-Target=AWSPartnerCentralSelling.CreateEngagement,POST,,,,"Catalog,ClientToken,Description,Title",The `CreateEngagement` action allows you to cre...,engagements,create_engagement,insert,,,,,
ListEngagements,/#X-Amz-Target=AWSPartnerCentralSelling.ListEngagements,POST,,,,Catalog,This action allows users to retrieve a list of ...,engagements,list_engagements,select,$.EngagementSummaryList,,,,
AssignOpportunity,/#X-Amz-Target=AWSPartnerCentralSelling.AssignOpportunity,POST,,,,"Assignee,Catalog,Identifier",Enables you to reassign an existing `Opportunit...,opportunities,assign_opportunity,exec,,,,,
CreateOpportunity,/#X-Amz-Target=AWSPartnerCentralSelling.CreateOpportunity,POST,,,,"Catalog,ClientToken",Creates an `Opportunity` record in Partner Cent...,opportunities,create_opportunity,insert,,,,,
ListOpportunities,/#X-Amz-Target=AWSPartnerCentralSelling.ListOpportunities,POST,,,,Catalog,This request accepts a list of filters that ret...,opportunities,list_opportunities,select,$.OpportunitySummaries,,,,
SubmitOpportunity,/#X-Amz-Target=AWSPartnerCentralSelling.SubmitOpportunity,POST,,,,"Catalog,Identifier,InvolvementType",Use this action to submit an Opportunity that w...,opportunities,submit_opportunity,exec,,,,,
UpdateOpportunity,/#X-Amz-Target=AWSPartnerCentralSelling.UpdateOpportunity,POST,,,,"Catalog,Identifier,LastModifiedDate",Updates the `Opportunity` record identified by ...,opportunities,update_opportunity,update,,,,,
GetOpportunity,/#X-Amz-Target=AWSPartnerCentralSelling.GetOpportunity,POST,,,,"Catalog,Identifier",Fetches the `Opportunity` record from Partner C...,opportunity,get_opportunity,select,,,,,
AssociateOpportunity,/#X-Amz-Target=AWSPartnerCentralSelling.AssociateOpportunity,POST,,,,"Catalog,OpportunityIdentifier,RelatedEntityIdentifier,RelatedEntityType",Enables you to create a formal association betw...,opportunity_associations,associate_opportunity,exec,,,,,
DisassociateOpportunity,/#X-Amz-Target=AWSPartnerCentralSelling.DisassociateOpportunity,POST,,,,"Catalog,OpportunityIdentifier,RelatedEntityIdentifier,RelatedEntityType",Allows you to remove an existing association be...,opportunity_associations,disassociate_opportunity,exec,,,,,
ListOpportunityFromEngagementTasks,/#X-Amz-Target=AWSPartnerCentralSelling.ListOpportunityFromEngagementTasks,POST,,,,Catalog,"Lists all in-progress, completed, or failed opp...",opportunity_from_engagement_tasks,list_opportunity_from_engagement_tasks,select,$.TaskSummaries,,,,
StartOpportunityFromEngagementTask,/#X-Amz-Target=AWSPartnerCentralSelling.StartOpportunityFromEngagementTask,POST,,,,"Catalog,ClientToken,ContextIdentifier,Identifier",This action creates an opportunity from an exis...,opportunity_from_engagement_tasks,start_opportunity_from_engagement_task,exec,,,,,
GetResourceSnapshot,/#X-Amz-Target=AWSPartnerCentralSelling.GetResourceSnapshot,POST,,,,"Catalog,EngagementIdentifier,ResourceIdentifier,ResourceSnapshotTemplateIdentifier,ResourceType",Use this action to retrieve a specific snapshot...,resource_snapshots,get_resource_snapshot,select,,,,,
GetResourceSnapshotJob,/#X-Amz-Target=AWSPartnerCentralSelling.GetResourceSnapshotJob,POST,,,,"Catalog,ResourceSnapshotJobIdentifier",Use this action to retrieves information about ...,resource_snapshot_jobs,get_resource_snapshot_job,select,,,,,
CreateResourceSnapshotJob,/#X-Amz-Target=AWSPartnerCentralSelling.CreateResourceSnapshotJob,POST,,,,"Catalog,ClientToken,EngagementIdentifier,ResourceIdentifier,ResourceSnapshotTemplateIdentifier,ResourceType",Use this action to create a job to generate a s...,resource_snapshot_jobs,create_resource_snapshot_job,insert,,,,,
DeleteResourceSnapshotJob,/#X-Amz-Target=AWSPartnerCentralSelling.DeleteResourceSnapshotJob,POST,,,,"Catalog,ResourceSnapshotJobIdentifier",Use this action to deletes a previously created...,resource_snapshot_jobs,delete_resource_snapshot_job,delete,,,,,
ListResourceSnapshotJobs,/#X-Amz-Target=AWSPartnerCentralSelling.ListResourceSnapshotJobs,POST,,,,Catalog,Lists resource snapshot jobs owned by the custo...,resource_snapshot_jobs,list_resource_snapshot_jobs,select,$.ResourceSnapshotJobSummaries,,,,
StartResourceSnapshotJob,/#X-Amz-Target=AWSPartnerCentralSelling.StartResourceSnapshotJob,POST,,,,"Catalog,ResourceSnapshotJobIdentifier",Starts a resource snapshot job that has been pr...,resource_snapshot_jobs,start_resource_snapshot_job,exec,,,,,
StopResourceSnapshotJob,/#X-Amz-Target=AWSPartnerCentralSelling.StopResourceSnapshotJob,POST,,,,"Catalog,ResourceSnapshotJobIdentifier",Stops a resource snapshot job. The job must be ...,resource_snapshot_jobs,stop_resource_snapshot_job,exec,,,,,
CreateResourceSnapshot,/#X-Amz-Target=AWSPartnerCentralSelling.CreateResourceSnapshot,POST,,,,"Catalog,ClientToken,EngagementIdentifier,ResourceIdentifier,ResourceSnapshotTemplateIdentifier,ResourceType",This action allows you to create an immutable s...,resource_snapshots,create_resource_snapshot,insert,,,,,
ListResourceSnapshots,/#X-Amz-Target=AWSPartnerCentralSelling.ListResourceSnapshots,POST,,,,"Catalog,EngagementIdentifier",Retrieves a list of resource view snapshots bas...,resource_snapshots,list_resource_snapshots,select,$.ResourceSnapshotSummaries,,,,
GetSellingSystemSettings,/#X-Amz-Target=AWSPartnerCentralSelling.GetSellingSystemSettings,POST,,,,Catalog,"Retrieves the currently set system settings, wh...",selling_system_settings,get_selling_system_settings,select,,,,,
PutSellingSystemSettings,/#X-Amz-Target=AWSPartnerCentralSelling.PutSellingSystemSettings,POST,,,,Catalog,"Updates the currently set system settings, whic...",selling_system_settings,put_selling_system_settings,replace,,,,,
ListSolutions,/#X-Amz-Target=AWSPartnerCentralSelling.ListSolutions,POST,,,,Catalog,Retrieves a list of Partner Solutions that the ...,solutions,list_solutions,select,$.SolutionSummaries,,,,
ListTagsForResource,/#X-Amz-Target=AWSPartnerCentralSelling.ListTagsForResource,POST,,,,ResourceArn,Returns a list of tags for a resource.,tags,list_tags_for_resource,select,,,,,
TagResource,/#X-Amz-Target=AWSPartnerCentralSelling.TagResource,POST,,,,"ResourceArn,Tags",Assigns one or more tags (key-value pairs) to t...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=AWSPartnerCentralSelling.UntagResource,POST,,,,"ResourceArn,TagKeys",Removes a tag or tags from a resource.,tags,untag_resource,exec,,,,,
