operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreatePerformanceAnalysisReport,/#X-Amz-Target=PerformanceInsightsv20180227.CreatePerformanceAnalysisReport,POST,,,,"EndTime,Identifier,ServiceType,StartTime",Creates a new performance analysis report for a...,performance_analysis_reports,create_performance_analysis_report,insert,,,,,
DeletePerformanceAnalysisReport,/#X-Amz-Target=PerformanceInsightsv20180227.DeletePerformanceAnalysisReport,POST,,,,"AnalysisReportId,Identifier,ServiceType",Deletes a performance analysis report.,performance_analysis_reports,delete_performance_analysis_report,delete,,,,,
DescribeDimensionKeys,/#X-Amz-Target=PerformanceInsightsv20180227.DescribeDimensionKeys,POST,,,,"EndTime,GroupBy,Identifier,Metric,ServiceType,StartTime","For a specific time period, retrieve the top `N...",dimension_keys,describe_dimension_keys,select,,,,,
GetDimensionKeyDetails,/#X-Amz-Target=PerformanceInsightsv20180227.GetDimensionKeyDetails,POST,,,,"Group,GroupIdentifier,Identifier,ServiceType",Get the attributes of the specified dimension g...,dimension_key_details,get_dimension_key_details,select,,,,,
GetPerformanceAnalysisReport,/#X-Amz-Target=PerformanceInsightsv20180227.GetPerformanceAnalysisReport,POST,,,,"AnalysisReportId,Identifier,ServiceType","Retrieves the report including the report ID, s...",performance_analysis_reports,get_performance_analysis_report,select,,,,,
GetResourceMetadata,/#X-Amz-Target=PerformanceInsightsv20180227.GetResourceMetadata,POST,,,,"Identifier,ServiceType",Retrieve the metadata for different features. F...,resource_metadata,get_resource_metadata,select,,,,,
GetResourceMetrics,/#X-Amz-Target=PerformanceInsightsv20180227.GetResourceMetrics,POST,,,,"EndTime,Identifier,MetricQueries,ServiceType,StartTime",Retrieve Performance Insights metrics for a set...,resource_metrics,get_resource_metrics,select,,,,,
ListAvailableResourceDimensions,/#X-Amz-Target=PerformanceInsightsv20180227.ListAvailableResourceDimensions,POST,,,,"Identifier,Metrics,ServiceType",Retrieve the dimensions that can be queried for...,available_resource_dimensions,list_available_resource_dimensions,select,,,,,
ListAvailableResourceMetrics,/#X-Amz-Target=PerformanceInsightsv20180227.ListAvailableResourceMetrics,POST,,,,"Identifier,MetricTypes,ServiceType",Retrieve metrics of the specified types that ca...,available_resource_metrics,list_available_resource_metrics,select,,,,,
ListPerformanceAnalysisReports,/#X-Amz-Target=PerformanceInsightsv20180227.ListPerformanceAnalysisReports,POST,,,,"Identifier,ServiceType",Lists all the analysis reports created for the ...,performance_analysis_reports,list_performance_analysis_reports,select,,,,,
ListTagsForResource,/#X-Amz-Target=PerformanceInsightsv20180227.ListTagsForResource,POST,,,,"ResourceARN,ServiceType",Retrieves all the metadata tags associated with...,tags,list_tags_for_resource,select,,,,,
TagResource,/#X-Amz-Target=PerformanceInsightsv20180227.TagResource,POST,,,,"ResourceARN,ServiceType,Tags",Adds metadata tags to the Amazon RDS Performanc...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=PerformanceInsightsv20180227.UntagResource,POST,,,,"ResourceARN,ServiceType,TagKeys",Deletes the metadata tags from the Amazon RDS P...,tags,untag_resource,exec,,,,,
