operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociatePermission,/applications/{applicationId}/policy,POST,applicationId,,,"actions,applicationId,principal,statementId",Adds or updates a permission policy for a Amazo...,permissions,associate_permission,exec,,,,,
BatchDeleteDocument,/applications/{applicationId}/indices/{indexId}/documents/delete,POST,"applicationId,indexId",,,"applicationId,documents,indexId",Asynchronously deletes one or more documents ad...,documents,batch_delete_document,exec,,,,,
BatchPutDocument,/applications/{applicationId}/indices/{indexId}/documents,POST,"applicationId,indexId",,,"applicationId,documents,indexId",Adds one or more documents to an Amazon Q Busin...,documents,batch_put_document,exec,,,,,
CancelSubscription,/applications/{applicationId}/subscriptions/{subscriptionId},DELETE,"applicationId,subscriptionId",,,,Unsubscribes a user or a group from their prici...,subscriptions,cancel_subscription,delete,,,,,
Chat,/applications/{applicationId}/conversations,POST,applicationId,,,applicationId,Starts or continues a streaming Amazon Q Busine...,conversations,chat,exec,,,,,
ChatSync,/applications/{applicationId}/conversations?sync,POST,applicationId,,,applicationId,Starts or continues a non-streaming Amazon Q Bu...,conversations,chat_sync,exec,,,,,
CheckDocumentAccess,/applications/{applicationId}/index/{indexId}/users/{userId}/documents/{documentId}/check-document-access,GET,"applicationId,documentId,indexId,userId",,,,Verifies if a user has access permissions for a...,documents,check_document_access,exec,,,,,
CreateAnonymousWebExperienceUrl,/applications/{applicationId}/experiences/{webExperienceId}/anonymous-url,POST,"applicationId,webExperienceId",,,"applicationId,webExperienceId",Creates a unique URL for anonymous Amazon Q Bus...,web_experiences,create_anonymous_web_experience_url,insert,,,,,
CreateApplication,/applications,POST,,,,displayName,Creates an Amazon Q Business application. There...,applications,create_application,insert,,,,,
CreateChatResponseConfiguration,/applications/{applicationId}/chatresponseconfigurations,POST,applicationId,,,"applicationId,displayName,responseConfigurations",Creates a new chat response configuration for a...,chat_response_configurations,create_chat_response_configuration,insert,,,,,
