operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteAccountCustomPermission,/accounts/{AwsAccountId}/custom-permission,DELETE,AwsAccountId,,,,Unapplies a custom permissions profile from an ...,account_custom_permissions,delete_account_custom_permission,delete,,,,,
DescribeAccountCustomPermission,/accounts/{AwsAccountId}/custom-permission,GET,AwsAccountId,,,,Describes the custom permissions profile that i...,account_custom_permissions,describe_account_custom_permission,select,,,,,
UpdateAccountCustomPermission,/accounts/{AwsAccountId}/custom-permission,PUT,AwsAccountId,,,"AwsAccountId,CustomPermissionsName",Applies a custom permissions profile to an acco...,account_custom_permissions,update_account_custom_permission,update,,,,,
CreateAccountCustomization,/accounts/{AwsAccountId}/customizations,POST,AwsAccountId,,,"AccountCustomization,AwsAccountId",Creates Amazon Quick Sight customizations. Curr...,account_customizations,create_account_customization,insert,,,,,
DeleteAccountCustomization,/accounts/{AwsAccountId}/customizations,DELETE,AwsAccountId,,,,This API permanently deletes all Quick Sight cu...,account_customizations,delete_account_customization,delete,,,,,
DescribeAccountCustomization,/accounts/{AwsAccountId}/customizations,GET,AwsAccountId,,,,Describes the customizations associated with th...,account_customizations,describe_account_customization,select,,,,,
UpdateAccountCustomization,/accounts/{AwsAccountId}/customizations,PUT,AwsAccountId,,,"AccountCustomization,AwsAccountId",Updates Amazon Quick Sight customizations. Curr...,account_customizations,update_account_customization,update,,,,,
DescribeAccountSettings,/accounts/{AwsAccountId}/settings,GET,AwsAccountId,,,,Describes the settings that were used when your...,account_settings,describe_account_settings,select,,,,,
UpdateAccountSettings,/accounts/{AwsAccountId}/settings,PUT,AwsAccountId,,,,Updates the Amazon Quick Sight settings in your...,account_settings,update_account_settings,update,,,,,
CreateAccountSubscription,/account/{AwsAccountId},POST,AwsAccountId,,,"AccountName,AuthenticationMethod,AwsAccountId,NotificationEmail","Creates an Amazon Quick Sight account, or subsc...",account_subscriptions,create_account_subscription,insert,,,,,
DeleteAccountSubscription,/account/{AwsAccountId},DELETE,AwsAccountId,,,,Deleting your Quick Sight account subscription ...,account_subscriptions,delete_account_subscription,delete,,,,,
DescribeAccountSubscription,/account/{AwsAccountId},GET,AwsAccountId,,,,Use the DescribeAccountSubscription operation t...,account_subscriptions,describe_account_subscription,select,,,,,
UpdateActionConnectorPermissions,/accounts/{AwsAccountId}/action-connectors/{ActionConnectorId}/permissions,POST,"ActionConnectorId,AwsAccountId",,,"ActionConnectorId,AwsAccountId",Updates the permissions for an action connector...,action_connectors,update_action_connector_permissions,update,,,,,
CreateActionConnector,/accounts/{AwsAccountId}/action-connectors,POST,AwsAccountId,,,"ActionConnectorId,AuthenticationConfig,AwsAccountId,Name,Type",Creates an action connector that enables Amazon...,action_connectors,create_action_connector,insert,,,,,
DeleteActionConnector,/accounts/{AwsAccountId}/action-connectors/{ActionConnectorId},DELETE,"ActionConnectorId,AwsAccountId",,,,"Hard deletes an action connector, making it unr...",action_connectors,delete_action_connector,delete,,,,,
DescribeActionConnector,/accounts/{AwsAccountId}/action-connectors/{ActionConnectorId},GET,"ActionConnectorId,AwsAccountId",,,,Retrieves detailed information about an action ...,action_connectors,describe_action_connector,select,,,,,
DescribeActionConnectorPermissions,/accounts/{AwsAccountId}/action-connectors/{ActionConnectorId}/permissions,GET,"ActionConnectorId,AwsAccountId",,,,Retrieves the permissions configuration for an ...,action_connectors,describe_action_connector_permissions,select,,,,,
ListActionConnectors,/accounts/{AwsAccountId}/action-connectors,GET,AwsAccountId,,,,Lists all action connectors in the specified Am...,action_connectors,list_action_connectors,select,$.ActionConnectorSummaries,,,,
SearchActionConnectors,/accounts/{AwsAccountId}/search/action-connectors,POST,AwsAccountId,,,DatasetArn,Searches for action connectors in the specified...,action_connectors,search_action_connectors,exec,$.ActionConnectorSummaries,,,,
UpdateActionConnector,/accounts/{AwsAccountId}/action-connectors/{ActionConnectorId},PUT,"ActionConnectorId,AwsAccountId",,,"ActionConnectorId,Arn,LastUpdatedTime,Name,Type",Updates an existing action connector with new c...,action_connectors,update_action_connector,update,,,,,
UpdateAnalysisPermissions,/accounts/{AwsAccountId}/analyses/{AnalysisId}/permissions,PUT,"AnalysisId,AwsAccountId",,,"ActionConnectorId,AwsAccountId",Updates the read and write permissions for an a...,analyses,update_analysis_permissions,update,,,,,
CreateAnalysis,/accounts/{AwsAccountId}/analyses/{AnalysisId},POST,"AnalysisId,AwsAccountId",,,"AnalysisId,AwsAccountId,Name",Creates an analysis in Amazon Quick Sight. Anal...,analyses,create_analysis,insert,,,,,
DeleteAnalysis,/accounts/{AwsAccountId}/analyses/{AnalysisId},DELETE,"AnalysisId,AwsAccountId",,,,Deletes an analysis from Amazon Quick Sight. Yo...,analyses,delete_analysis,delete,,,,,
DescribeAnalysis,/accounts/{AwsAccountId}/analyses/{AnalysisId},GET,"AnalysisId,AwsAccountId",,,,Provides a summary of the metadata for an analy...,analyses,describe_analysis,select,,,,,
DescribeAnalysisDefinition,/accounts/{AwsAccountId}/analyses/{AnalysisId}/definition,GET,"AnalysisId,AwsAccountId",,,,Provides a detailed description of the definiti...,analyses,describe_analysis_definition,select,,,,,
DescribeAnalysisPermissions,/accounts/{AwsAccountId}/analyses/{AnalysisId}/permissions,GET,"AnalysisId,AwsAccountId",,,,Provides the read and write permissions for an ...,analyses,describe_analysis_permissions,select,,,,,
ListAnalyses,/accounts/{AwsAccountId}/analyses,GET,AwsAccountId,,,,Lists Amazon Quick Sight analyses that exist in...,analyses,list_analyses,select,$.AnalysisSummaryList,,,,
RestoreAnalysis,/accounts/{AwsAccountId}/restore/analyses/{AnalysisId},POST,"AnalysisId,AwsAccountId",,,,Restores an analysis.,analyses,restore_analysis,exec,,,,,
SearchAnalyses,/accounts/{AwsAccountId}/search/analyses,POST,AwsAccountId,,,"AwsAccountId,Filters",Searches for analyses that belong to the user s...,analyses,search_analyses,exec,$.AnalysisSummaryList,NextToken,body,NextToken,body
UpdateAnalysis,/accounts/{AwsAccountId}/analyses/{AnalysisId},PUT,"AnalysisId,AwsAccountId",,,"AnalysisId,AwsAccountId,Name",Updates an analysis in Amazon Quick Sight,analyses,update_analysis,update,,,,,
UpdateApplicationWithTokenExchangeGrant,/accounts/{AwsAccountId}/application-with-token-exchange-grant,PUT,AwsAccountId,,namespace,,Updates an Quick Suite application with a token...,applications,update_application_with_token_exchange_grant,update,,,,,
DescribeAssetBundleExportJob,/accounts/{AwsAccountId}/asset-bundle-export-jobs/{AssetBundleExportJobId},GET,"AssetBundleExportJobId,AwsAccountId",,,,Describes an existing export job. Poll job desc...,asset_bundle_export_jobs,describe_asset_bundle_export_job,select,,,,,
ListAssetBundleExportJobs,/accounts/{AwsAccountId}/asset-bundle-export-jobs,GET,AwsAccountId,,,,Lists all asset bundle export jobs that have be...,asset_bundle_export_jobs,list_asset_bundle_export_jobs,select,$.AssetBundleExportJobSummaryList,,,,
