operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateRule,/rules,POST,,,,"ResourceType,RetentionPeriod",Creates a Recycle Bin retention rule. You can c...,rules,create_rule,insert,,,,,
DeleteRule,/rules/{Identifier},DELETE,Identifier,,,,Deletes a Recycle Bin retention rule. For more ...,rules,delete_rule,delete,,,,,
GetRule,/rules/{Identifier},GET,Identifier,,,,Gets information about a Recycle Bin retention ...,rules,get_rule,select,,,,,
ListRules,/list-rules,POST,,,,ResourceType,Lists the Recycle Bin retention rules in the Re...,rules,list_rules,select,$.Rules,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Lists the tags assigned to a retention rule.,tags,list_tags_for_resource,select,,,,,
LockRule,/rules/{Identifier}/lock,PATCH,Identifier,,,"ResourceType,RetentionPeriod",Locks a Region-level retention rule. A locked r...,rules,lock_rule,exec,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,"ResourceType,RetentionPeriod",Assigns tags to the specified retention rule.,tags,tag_resource,exec,,,,,
UnlockRule,/rules/{Identifier}/unlock,PATCH,Identifier,,,,Unlocks a retention rule. After a retention rul...,rules,unlock_rule,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Unassigns a tag from a retention rule.,tags,untag_resource,exec,,,,,
UpdateRule,/rules/{Identifier},PATCH,Identifier,,,"ResourceType,RetentionPeriod",Updates an existing Recycle Bin retention rule....,rules,update_rule,update,,,,,
