operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeAccountAttributes,/#Action=DescribeAccountAttributes,GET,,,"Action,Version",,Lists all of the attributes for a customer acco...,account_attributes,describe_account_attributes,select,,,,,
ModifyActivityStream,/#Action=ModifyActivityStream,GET,,,"Action,Version",,Changes the audit policy state of a database ac...,activity_streams,modify_activity_stream,exec,,,,,
StartActivityStream,/#Action=StartActivityStream,GET,,,"Action,KmsKeyId,Mode,ResourceArn,Version",,Starts a database activity stream to monitor ac...,activity_streams,start_activity_stream,exec,,,,,
StopActivityStream,/#Action=StopActivityStream,GET,,,"Action,ResourceArn,Version",,Stops a database activity stream that was start...,activity_streams,stop_activity_stream,exec,,,,,
CreateBlueGreenDeployment,/#Action=CreateBlueGreenDeployment,GET,,,"Action,BlueGreenDeploymentName,Source,Version",,Creates a blue/green deployment. A blue/green d...,blue_green_deployments,create_blue_green_deployment,insert,,,,,
DeleteBlueGreenDeployment,/#Action=DeleteBlueGreenDeployment,GET,,,"Action,BlueGreenDeploymentIdentifier,Version",,Deletes a blue/green deployment. For more infor...,blue_green_deployments,delete_blue_green_deployment,delete,,,,,
DescribeBlueGreenDeployments,/#Action=DescribeBlueGreenDeployments,GET,,,"Action,Version",,Describes one or more blue/green deployments. F...,blue_green_deployments,describe_blue_green_deployments,select,$.BlueGreenDeployments,,,,
SwitchoverBlueGreenDeployment,/#Action=SwitchoverBlueGreenDeployment,GET,,,"Action,BlueGreenDeploymentIdentifier,Version",,Switches over a blue/green deployment. Before y...,blue_green_deployments,switchover_blue_green_deployment,exec,,,,,
DescribeCertificates,/#Action=DescribeCertificates,GET,,,"Action,Version",,Lists the set of certificate authority (CA) cer...,certificates,describe_certificates,select,$.Certificates,,,,
ModifyCertificates,/#Action=ModifyCertificates,GET,,,"Action,Version",,Override the system-default Secure Sockets Laye...,certificates,modify_certificates,exec,,,,,
DeleteDBClusterAutomatedBackup,/#Action=DeleteDBClusterAutomatedBackup,GET,,,"Action,DbClusterResourceId,Version",,Deletes automated backups using the `DbClusterR...,db_cluster_automated_backups,delete_db_cluster_automated_backup,delete,,,,,
DescribeDBClusterAutomatedBackups,/#Action=DescribeDBClusterAutomatedBackups,GET,,,"Action,Version",,Displays backups for both current and deleted D...,db_cluster_automated_backups,describe_db_cluster_automated_backups,select,$.DBClusterAutomatedBackups,,,,
BacktrackDBCluster,/#Action=BacktrackDBCluster,GET,,,"Action,BacktrackTo,DBClusterIdentifier,Version",,"Backtracks a DB cluster to a specific time, wit...",db_cluster_backtracks,backtrack_db_cluster,exec,,,,,
DescribeDBClusterBacktracks,/#Action=DescribeDBClusterBacktracks,GET,,,"Action,DBClusterIdentifier,Version",,Returns information about backtracks for a DB c...,db_cluster_backtracks,describe_db_cluster_backtracks,select,$.DBClusterBacktracks,,,,
CreateDBClusterEndpoint,/#Action=CreateDBClusterEndpoint,GET,,,"Action,DBClusterEndpointIdentifier,DBClusterIdentifier,EndpointType,Version",,Creates a new custom endpoint and associates it...,db_cluster_endpoints,create_db_cluster_endpoint,insert,,,,,
DeleteDBClusterEndpoint,/#Action=DeleteDBClusterEndpoint,GET,,,"Action,DBClusterEndpointIdentifier,Version",,Deletes a custom endpoint and removes it from a...,db_cluster_endpoints,delete_db_cluster_endpoint,delete,,,,,
DescribeDBClusterEndpoints,/#Action=DescribeDBClusterEndpoints,GET,,,"Action,Version",,Returns information about endpoints for an Amaz...,db_cluster_endpoints,describe_db_cluster_endpoints,select,$.DBClusterEndpoints,,,,
ModifyDBClusterEndpoint,/#Action=ModifyDBClusterEndpoint,GET,,,"Action,DBClusterEndpointIdentifier,Version",,Modifies the properties of an endpoint in an Am...,db_cluster_endpoints,modify_db_cluster_endpoint,exec,,,,,
CopyDBClusterParameterGroup,/#Action=CopyDBClusterParameterGroup,GET,,,"Action,SourceDBClusterParameterGroupIdentifier,TargetDBClusterParameterGroupDescription,TargetDBClusterParameterGroupIdentifier,Version",,Copies the specified DB cluster parameter group...,db_cluster_parameter_groups,copy_db_cluster_parameter_group,exec,,,,,
CreateDBClusterParameterGroup,/#Action=CreateDBClusterParameterGroup,GET,,,"Action,DBClusterParameterGroupName,DBParameterGroupFamily,Description,Version",,Creates a new DB cluster parameter group. Param...,db_cluster_parameter_groups,create_db_cluster_parameter_group,insert,,,,,
DeleteDBClusterParameterGroup,/#Action=DeleteDBClusterParameterGroup,GET,,,"Action,DBClusterParameterGroupName,Version",,Deletes a specified DB cluster parameter group....,db_cluster_parameter_groups,delete_db_cluster_parameter_group,delete,,,,,
DescribeDBClusterParameterGroups,/#Action=DescribeDBClusterParameterGroups,GET,,,"Action,Version",,Returns a list of `DBClusterParameterGroup` des...,db_cluster_parameter_groups,describe_db_cluster_parameter_groups,select,$.DBClusterParameterGroups,,,,
ModifyDBClusterParameterGroup,/#Action=ModifyDBClusterParameterGroup,GET,,,"Action,DBClusterParameterGroupName,Parameters,Version",,Modifies the parameters of a DB cluster paramet...,db_cluster_parameter_groups,modify_db_cluster_parameter_group,exec,,,,,
ResetDBClusterParameterGroup,/#Action=ResetDBClusterParameterGroup,GET,,,"Action,DBClusterParameterGroupName,Version",,Modifies the parameters of a DB cluster paramet...,db_cluster_parameter_groups,reset_db_cluster_parameter_group,exec,,,,,
DescribeDBClusterParameters,/#Action=DescribeDBClusterParameters,GET,,,"Action,DBClusterParameterGroupName,Version",,Returns the detailed parameter list for a parti...,db_cluster_parameters,describe_db_cluster_parameters,select,$.Parameters,,,,
DescribeDBClusterSnapshotAttributes,/#Action=DescribeDBClusterSnapshotAttributes,GET,,,"Action,DBClusterSnapshotIdentifier,Version",,Returns a list of DB cluster snapshot attribute...,db_cluster_snapshot_attributes,describe_db_cluster_snapshot_attributes,select,,,,,
ModifyDBClusterSnapshotAttribute,/#Action=ModifyDBClusterSnapshotAttribute,GET,,,"Action,AttributeName,DBClusterSnapshotIdentifier,Version",,"Adds an attribute and values to, or removes an ...",db_cluster_snapshot_attributes,modify_db_cluster_snapshot_attribute,exec,,,,,
CopyDBClusterSnapshot,/#Action=CopyDBClusterSnapshot,GET,,,"Action,SourceDBClusterSnapshotIdentifier,TargetDBClusterSnapshotIdentifier,Version",,Copies a snapshot of a DB cluster. To copy a DB...,db_cluster_snapshots,copy_db_cluster_snapshot,exec,,,,,
CreateDBClusterSnapshot,/#Action=CreateDBClusterSnapshot,GET,,,"Action,DBClusterIdentifier,DBClusterSnapshotIdentifier,Version",,Creates a snapshot of a DB cluster. For more in...,db_cluster_snapshots,create_db_cluster_snapshot,insert,,,,,
DeleteDBClusterSnapshot,/#Action=DeleteDBClusterSnapshot,GET,,,"Action,DBClusterSnapshotIdentifier,Version",,Deletes a DB cluster snapshot. If the snapshot ...,db_cluster_snapshots,delete_db_cluster_snapshot,delete,,,,,
DescribeDBClusterSnapshots,/#Action=DescribeDBClusterSnapshots,GET,,,"Action,Version",,Returns information about DB cluster snapshots....,db_cluster_snapshots,describe_db_cluster_snapshots,select,$.DBClusterSnapshots,,,,
AddRoleToDBCluster,/#Action=AddRoleToDBCluster,GET,,,"Action,DBClusterIdentifier,RoleArn,Version",,Associates an Identity and Access Management (I...,db_clusters,add_role_to_db_cluster,exec,,,,,
CreateDBCluster,/#Action=CreateDBCluster,GET,,,"Action,DBClusterIdentifier,Engine,Version",,Creates a new Amazon Aurora DB cluster or Multi...,db_clusters,create_db_cluster,insert,,,,,
DeleteDBCluster,/#Action=DeleteDBCluster,GET,,,"Action,DBClusterIdentifier,Version",,The DeleteDBCluster action deletes a previously...,db_clusters,delete_db_cluster,delete,,,,,
DescribeDBClusters,/#Action=DescribeDBClusters,GET,,,"Action,Version",,Describes existing Amazon Aurora DB clusters an...,db_clusters,describe_db_clusters,select,$.DBClusters,,,,
DisableHttpEndpoint,/#Action=DisableHttpEndpoint,GET,,,"Action,ResourceArn,Version",,Disables the HTTP endpoint for the specified DB...,db_clusters,disable_http_endpoint,exec,,,,,
