operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListDatabases,/#X-Amz-Target=RedshiftData.ListDatabases,POST,List the databases in a cluster. A token is ret...,databases,list_databases,select,$.Databases,,,,
ListSchemas,/#X-Amz-Target=RedshiftData.ListSchemas,POST,Lists the schemas in a database. A token is ret...,schemas,list_schemas,select,$.Schemas,,,,
DescribeStatement,/#X-Amz-Target=RedshiftData.DescribeStatement,POST,Describes the details about a specific instance...,statement,describe_statement,select,,,,,
GetStatementResultV2,/#X-Amz-Target=RedshiftData.GetStatementResultV2,POST,Fetches the temporarily cached result of an SQL...,statement_result_v2,get_statement_result_v2,select,$.Records,,,,
GetStatementResult,/#X-Amz-Target=RedshiftData.GetStatementResult,POST,Fetches the temporarily cached result of an SQL...,statement_result,get_statement_result,select,$.Records,,,,
BatchExecuteStatement,/#X-Amz-Target=RedshiftData.BatchExecuteStatement,POST,"Runs one or more SQL statements, which can be d...",statements,batch_execute_statement,exec,,,,,
CancelStatement,/#X-Amz-Target=RedshiftData.CancelStatement,POST,"Cancels a running query. To be canceled, a quer...",statements,cancel_statement,exec,,,,,
ExecuteStatement,/#X-Amz-Target=RedshiftData.ExecuteStatement,POST,"Runs an SQL statement, which can be data manipu...",statements,execute_statement,exec,,,,,
ListStatements,/#X-Amz-Target=RedshiftData.ListStatements,POST,"List of SQL statements. By default, only finish...",statements,list_statements,select,$.Statements,,,,
DescribeTable,/#X-Amz-Target=RedshiftData.DescribeTable,POST,Describes the detailed information about a tabl...,table,describe_table,select,$.ColumnList,,,,
ListTables,/#X-Amz-Target=RedshiftData.ListTables,POST,List the tables in a database. If neither `Sche...,tables,list_tables,select,$.Tables,,,,
