operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetAccountSettings,/get-account-settings,POST,Retrieves the current status of optional featur...,account_settings,get_account_settings,select,,,,,
UpdateAccountSettings,/update-account-settings,POST,Turns on or turns off optional features in Reso...,account_settings,update_account_settings,update,,,,,
GetGroup,/get-group,POST,Returns information about a specified resource ...,group,get_group,select,,,,,
GetGroupConfiguration,/get-group-configuration,POST,Retrieves the service configuration associated ...,group_configurations,get_group_configuration,select,,,,,
PutGroupConfiguration,/put-group-configuration,POST,Attaches a service configuration to the specifi...,group_configurations,put_group_configuration,replace,,,,,
GetGroupQuery,/get-group-query,POST,Retrieves the resource query associated with th...,group_queries,get_group_query,select,,,,,
UpdateGroupQuery,/update-group-query,POST,Updates the resource query of a group. For more...,group_queries,update_group_query,update,,,,,
GroupResources,/group-resources,POST,Adds the specified resources to the specified g...,group_resources,group_resources,exec,,,,,
ListGroupResources,/list-group-resources,POST,Returns a list of Amazon resource names (ARNs) ...,group_resources,list_group_resources,select,$.ResourceIdentifiers,,,,
UngroupResources,/ungroup-resources,POST,Removes the specified resources from the specif...,group_resources,ungroup_resources,exec,,,,,
ListGroupingStatuses,/list-grouping-statuses,POST,Returns the status of the last grouping or ungr...,grouping_statuses,list_grouping_statuses,select,$.GroupingStatuses,,,,
CreateGroup,/groups,POST,Creates a resource group with the specified nam...,groups,create_group,insert,,,,,
DeleteGroup,/delete-group,POST,Deletes the specified resource group. Deleting ...,groups,delete_group,delete,,,,,
ListGroups,/groups-list,POST,Returns a list of existing Resource Groups in y...,groups,list_groups,select,$.GroupIdentifiers,NextToken,query,NextToken,body
UpdateGroup,/update-group,POST,Updates the description for an existing group. ...,groups,update_group,update,,,,,
SearchResources,/resources/search,POST,Returns a list of Amazon Web Services resource ...,group_resources,search_resources,exec,$.ResourceIdentifiers,,,,
GetTagSyncTask,/get-tag-sync-task,POST,Returns information about a specified tag-sync ...,tag_sync_task,get_tag_sync_task,select,,,,,
CancelTagSyncTask,/cancel-tag-sync-task,POST,Cancels the specified tag-sync task. **Minimum ...,tag_sync_tasks,cancel_tag_sync_task,exec,,,,,
ListTagSyncTasks,/list-tag-sync-tasks,POST,Returns a list of tag-sync tasks. **Minimum per...,tag_sync_tasks,list_tag_sync_tasks,select,$.TagSyncTasks,,,,
StartTagSyncTask,/start-tag-sync-task,POST,Creates a new tag-sync task to onboard and sync...,tag_sync_tasks,start_tag_sync_task,exec,,,,,
GetTags,/resources/{Arn}/tags,GET,Returns a list of tags that are associated with...,tags,get_tags,select,,,,,
Tag,/resources/{Arn}/tags,PUT,Adds tags to a resource group with the specifie...,tags,tag,exec,,,,,
Untag,/resources/{Arn}/tags,PATCH,Deletes tags from a specified resource group. *...,tags,untag,exec,,,,,
