operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateProfile,/profiles,POST,,,,"name,roleArns","Creates a _profile_ , a list of the roles that ...",profiles,create_profile,insert,,,,,
CreateTrustAnchor,/trustanchors,POST,,,,"name,source",Creates a trust anchor to establish trust betwe...,trust_anchors,create_trust_anchor,insert,,,,,
DeleteAttributeMapping,/profiles/{profileId}/mappings,DELETE,profileId,,certificateField,,Delete an entry from the attribute mapping rule...,attribute_mappings,delete_attribute_mapping,delete,,,,,
DeleteCrl,/crl/{crlId},DELETE,crlId,,,,Deletes a certificate revocation list (CRL). **...,crls,delete_crl,delete,,,,,
DeleteProfile,/profile/{profileId},DELETE,profileId,,,,Deletes a profile. **Required permissions:** `r...,profiles,delete_profile,delete,,,,,
DeleteTrustAnchor,/trustanchor/{trustAnchorId},DELETE,trustAnchorId,,,,Deletes a trust anchor. **Required permissions:...,trust_anchors,delete_trust_anchor,delete,,,,,
DisableCrl,/crl/{crlId}/disable,POST,crlId,,,,Disables a certificate revocation list (CRL). *...,crls,disable_crl,exec,,,,,
DisableProfile,/profile/{profileId}/disable,POST,profileId,,,,"Disables a profile. When disabled, temporary cr...",profiles,disable_profile,exec,,,,,
DisableTrustAnchor,/trustanchor/{trustAnchorId}/disable,POST,trustAnchorId,,,,"Disables a trust anchor. When disabled, tempora...",trust_anchors,disable_trust_anchor,exec,,,,,
EnableCrl,/crl/{crlId}/enable,POST,crlId,,,,Enables a certificate revocation list (CRL). Wh...,crls,enable_crl,exec,,,,,
EnableProfile,/profile/{profileId}/enable,POST,profileId,,,,Enables temporary credential requests for a pro...,profiles,enable_profile,exec,,,,,
EnableTrustAnchor,/trustanchor/{trustAnchorId}/enable,POST,trustAnchorId,,,,"Enables a trust anchor. When enabled, certifica...",trust_anchors,enable_trust_anchor,exec,,,,,
GetCrl,/crl/{crlId},GET,crlId,,,,Gets a certificate revocation list (CRL). **Req...,crls,get_crl,select,,,,,
GetProfile,/profile/{profileId},GET,profileId,,,,Gets a profile. **Required permissions:** `role...,profiles,get_profile,select,,,,,
GetSubject,/subject/{subjectId},GET,subjectId,,,,"Gets a _subject_ , which associates a certifica...",subjects,get_subject,select,,,,,
GetTrustAnchor,/trustanchor/{trustAnchorId},GET,trustAnchorId,,,,Gets a trust anchor. **Required permissions:** ...,trust_anchors,get_trust_anchor,select,,,,,
ImportCrl,/crls,POST,,,,"crlData,name,trustAnchorArn",Imports the certificate revocation list (CRL). ...,crls,import_crl,exec,,,,,
ListCrls,/crls,GET,,,,,Lists all certificate revocation lists (CRL) in...,crls,list_crls,select,$.crls,,,,
ListProfiles,/profiles,GET,,,,,Lists all profiles in the authenticated account...,profiles,list_profiles,select,$.profiles,,,,
ListSubjects,/subjects,GET,,,,,Lists the subjects in the authenticated account...,subjects,list_subjects,select,$.subjects,,,,
ListTagsForResource,/ListTagsForResource,GET,,,resourceArn,,Lists the tags attached to the resource. **Requ...,tags,list_tags_for_resource,select,,,,,
ListTrustAnchors,/trustanchors,GET,,,,,Lists the trust anchors in the authenticated ac...,trust_anchors,list_trust_anchors,select,$.trustAnchors,,,,
PutAttributeMapping,/profiles/{profileId}/mappings,PUT,profileId,,,,Put an entry in the attribute mapping rules tha...,attribute_mappings,put_attribute_mapping,replace,,,,,
PutNotificationSettings,/put-notifications-settings,PATCH,,,,"notificationSettings,trustAnchorId",Attaches a list of _notification settings_ to a...,notification_settings,put_notification_settings,replace,,,,,
ResetNotificationSettings,/reset-notifications-settings,PATCH,,,,"notificationSettingKeys,trustAnchorId",Resets the _custom notification setting_ to IAM...,notification_settings,reset_notification_settings,exec,,,,,
TagResource,/TagResource,POST,,,,"resourceArn,tags",Attaches tags to a resource. **Required permiss...,tags,tag_resource,exec,,,,,
UntagResource,/UntagResource,POST,,,,"resourceArn,tagKeys",Removes tags from the resource. **Required perm...,tags,untag_resource,exec,,,,,
UpdateCrl,/crl/{crlId},PATCH,crlId,,,,Updates the certificate revocation list (CRL). ...,crls,update_crl,update,,,,,
UpdateProfile,/profile/{profileId},PATCH,profileId,,,"name,roleArns","Updates a _profile_ , a list of the roles that ...",profiles,update_profile,update,,,,,
UpdateTrustAnchor,/trustanchor/{trustAnchorId},PATCH,trustAnchorId,,,"name,source",Updates a trust anchor. You establish trust bet...,trust_anchors,update_trust_anchor,update,,,,,
