operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateCluster,/cluster,POST,,,,ClusterName,Create a new cluster. A cluster is a set of red...,clusters,create_cluster,insert,,,,,
CreateControlPanel,/controlpanel,POST,,,,"ClusterArn,ControlPanelName",Creates a new control panel. A control panel re...,control_panels,create_control_panel,insert,,,,,
CreateRoutingControl,/routingcontrol,POST,,,,"ClusterArn,RoutingControlName",Creates a new routing control. A routing contro...,routing_controls,create_routing_control,insert,,,,,
CreateSafetyRule,/safetyrule,POST,,,,,Creates a safety rule in a control panel. Safet...,safety_rules,create_safety_rule,insert,,,,,
DeleteCluster,/cluster/{ClusterArn},DELETE,ClusterArn,,,,Delete a cluster.,clusters,delete_cluster,delete,,,,,
DeleteControlPanel,/controlpanel/{ControlPanelArn},DELETE,ControlPanelArn,,,,Deletes a control panel.,control_panels,delete_control_panel,delete,,,,,
DeleteRoutingControl,/routingcontrol/{RoutingControlArn},DELETE,RoutingControlArn,,,,Deletes a routing control.,routing_controls,delete_routing_control,delete,,,,,
DeleteSafetyRule,/safetyrule/{SafetyRuleArn},DELETE,SafetyRuleArn,,,,Deletes a safety rule. />,safety_rules,delete_safety_rule,delete,,,,,
DescribeCluster,/cluster/{ClusterArn},GET,ClusterArn,,,,Display the details about a cluster. The respon...,clusters,describe_cluster,select,,,,,
DescribeControlPanel,/controlpanel/{ControlPanelArn},GET,ControlPanelArn,,,,Displays details about a control panel.,control_panels,describe_control_panel,select,,,,,
DescribeRoutingControl,/routingcontrol/{RoutingControlArn},GET,RoutingControlArn,,,,Displays details about a routing control. A rou...,routing_controls,describe_routing_control,select,,,,,
DescribeSafetyRule,/safetyrule/{SafetyRuleArn},GET,SafetyRuleArn,,,,Returns information about a safety rule.,safety_rules,describe_safety_rule,select,,,,,
GetResourcePolicy,/resourcePolicy/{ResourceArn},GET,ResourceArn,,,,Get information about the resource policy for a...,resource_policies,get_resource_policy,select,,,,,
ListAssociatedRoute53HealthChecks,/routingcontrol/{RoutingControlArn}/associatedRoute53HealthChecks,GET,RoutingControlArn,,,,Returns an array of all Amazon Route 53 health ...,associated_health_checks,list_associated_route53_health_checks,select,$.HealthCheckIds,,,,
ListClusters,/cluster,GET,,,,,Returns an array of all the clusters in an acco...,clusters,list_clusters,select,$.Clusters,,,,
ListControlPanels,/controlpanels,GET,,,,,Returns an array of control panels in an accoun...,control_panels,list_control_panels,select,$.ControlPanels,,,,
ListRoutingControls,/controlpanel/{ControlPanelArn}/routingcontrols,GET,ControlPanelArn,,,,Returns an array of routing controls for a cont...,routing_controls,list_routing_controls,select,$.RoutingControls,,,,
ListSafetyRules,/controlpanel/{ControlPanelArn}/safetyrules,GET,ControlPanelArn,,,,List the safety rules (the assertion rules and ...,safety_rules,list_safety_rules,select,$.SafetyRules,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Lists the tags for a resource.,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,ClusterName,Adds a tag to a resource.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,TagKeys,,Removes a tag from a resource.,tags,untag_resource,exec,,,,,
UpdateCluster,/cluster,PUT,,,,,Updates an existing cluster. You can only updat...,clusters,update_cluster,update,,,,,
UpdateControlPanel,/controlpanel,PUT,,,,"ControlPanelArn,ControlPanelName",Updates a control panel. The only update you ca...,control_panels,update_control_panel,update,,,,,
UpdateRoutingControl,/routingcontrol,PUT,,,,"RoutingControlArn,RoutingControlName",Updates a routing control. You can only update ...,routing_controls,update_routing_control,update,,,,,
UpdateSafetyRule,/safetyrule,PUT,,,,,Update a safety rule (an assertion rule or gati...,safety_rules,update_safety_rule,update,,,,,
