operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ActivateKeySigningKey,/2013-04-01/keysigningkey/{HostedZoneId}/{Name}/activate,POST,"HostedZoneId,Name",,,,Activates a key-signing key (KSK) so that it ca...,key_signing_keys,activate_key_signing_key,exec,,,,,
AssociateVPCWithHostedZone,/2013-04-01/hostedzone/{HostedZoneId}/associatevpc,POST,HostedZoneId,,,"HostedZoneId,VPC",Associates an Amazon VPC with a private hosted ...,hosted_zones,associate_vpc_with_hosted_zone,exec,,,,,
ChangeCidrCollection,/2013-04-01/cidrcollection/{Id},POST,Id,,,"Changes,Id","Creates, changes, or deletes CIDR blocks within...",cidr_collections,change_cidr_collection,exec,,,,,
ChangeResourceRecordSets,/2013-04-01/hostedzone/{HostedZoneId}/rrset,POST,HostedZoneId,,,"ChangeBatch,HostedZoneId","Creates, changes, or deletes a resource record ...",resource_record_sets,change_resource_record_sets,exec,,,,,
ChangeTagsForResource,/2013-04-01/tags/{ResourceType}/{ResourceId},POST,"ResourceId,ResourceType",,,"ResourceId,ResourceType","Adds, edits, or deletes tags for a health check...",tags,change_tags_for_resource,exec,,,,,
CreateCidrCollection,/2013-04-01/cidrcollection,POST,,,,"CallerReference,Name",Creates a CIDR collection in the current Amazon...,cidr_collections,create_cidr_collection,insert,,,,,
CreateHealthCheck,/2013-04-01/healthcheck,POST,,,,"CallerReference,HealthCheckConfig",Creates a new health check. For information abo...,health_checks,create_health_check,insert,,,,,
CreateHostedZone,/2013-04-01/hostedzone,POST,,,,"CallerReference,Name",Creates a new public or private hosted zone. Yo...,hosted_zones,create_hosted_zone,insert,,,,,
CreateKeySigningKey,/2013-04-01/keysigningkey,POST,,,,"CallerReference,HostedZoneId,KeyManagementServiceArn,Name,Status",Creates a new key-signing key (KSK) associated ...,key_signing_keys,create_key_signing_key,insert,,,,,
CreateQueryLoggingConfig,/2013-04-01/queryloggingconfig,POST,,,,"CloudWatchLogsLogGroupArn,HostedZoneId",Creates a configuration for DNS query logging. ...,query_logging_configs,create_query_logging_config,insert,,,,,
CreateReusableDelegationSet,/2013-04-01/delegationset,POST,,,,"CallerReference,HostedZoneId,KeyManagementServiceArn,Name,Status",Creates a delegation set (a group of four name ...,reusable_delegation_sets,create_reusable_delegation_set,insert,,,,,
CreateTrafficPolicy,/2013-04-01/trafficpolicy,POST,,,,"Document,Name","Creates a traffic policy, which you use to crea...",traffic_policies,create_traffic_policy,insert,,,,,
