operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateNamespace,/namespaces/{tableBucketARN},PUT,tableBucketARN,,,"namespace,tableBucketARN",Creates a namespace. A namespace is a logical g...,namespaces,create_namespace,insert,,,,,
CreateTable,/tables/{tableBucketARN}/{namespace},PUT,"namespace,tableBucketARN",,,"format,name,namespace,tableBucketARN",Creates a new table associated with the given n...,tables,create_table,insert,,,,,
CreateTableBucket,/buckets,PUT,,,,name,"Creates a table bucket. For more information, s...",table_buckets,create_table_bucket,insert,,,,,
DeleteNamespace,/namespaces/{tableBucketARN}/{namespace},DELETE,"namespace,tableBucketARN",,,,"Deletes a namespace. For more information, see ...",namespaces,delete_namespace,delete,,,,,
DeleteTable,/tables/{tableBucketARN}/{namespace}/{name},DELETE,"name,namespace,tableBucketARN",,,,"Deletes a table. For more information, see [Del...",tables,delete_table,delete,,,,,
DeleteTableBucket,/buckets/{tableBucketARN},DELETE,tableBucketARN,,,,"Deletes a table bucket. For more information, s...",table_buckets,delete_table_bucket,delete,,,,,
DeleteTableBucketEncryption,/buckets/{tableBucketARN}/encryption,DELETE,tableBucketARN,,,,Deletes the encryption configuration for a tabl...,table_bucket_encryption,delete_table_bucket_encryption,delete,,,,,
DeleteTableBucketMetricsConfiguration,/buckets/{tableBucketARN}/metrics,DELETE,tableBucketARN,,,,Deletes the metrics configuration for a table b...,table_bucket_metrics_configurations,delete_table_bucket_metrics_configuration,delete,,,,,
DeleteTableBucketPolicy,/buckets/{tableBucketARN}/policy,DELETE,tableBucketARN,,,,Deletes a table bucket policy. For more informa...,table_bucket_policies,delete_table_bucket_policy,delete,,,,,
DeleteTableBucketReplication,/table-bucket-replication,DELETE,,,tableBucketARN,,Deletes the replication configuration for a tab...,table_bucket_replication,delete_table_bucket_replication,delete,,,,,
DeleteTablePolicy,/tables/{tableBucketARN}/{namespace}/{name}/policy,DELETE,"name,namespace,tableBucketARN",,,,"Deletes a table policy. For more information, s...",table_policies,delete_table_policy,delete,,,,,
DeleteTableReplication,/table-replication,DELETE,,,"tableArn,versionToken",,Deletes the replication configuration for a spe...,table_replication,delete_table_replication,delete,,,,,
GetNamespace,/namespaces/{tableBucketARN}/{namespace},GET,"namespace,tableBucketARN",,,,Gets details about a namespace. For more inform...,namespaces,get_namespace,select,,,,,
GetTable,/get-table,GET,,,,,Gets details about a table. For more informatio...,tables,get_table,select,,,,,
GetTableBucket,/buckets/{tableBucketARN},GET,tableBucketARN,,,,Gets details on a table bucket. For more inform...,table_buckets,get_table_bucket,select,,,,,
GetTableBucketEncryption,/buckets/{tableBucketARN}/encryption,GET,tableBucketARN,,,,Gets the encryption configuration for a table b...,table_bucket_encryption,get_table_bucket_encryption,select,,,,,
GetTableBucketMaintenanceConfiguration,/buckets/{tableBucketARN}/maintenance,GET,tableBucketARN,,,,Gets details about a maintenance configuration ...,table_bucket_maintenance_configurations,get_table_bucket_maintenance_configuration,select,,,,,
GetTableBucketMetricsConfiguration,/buckets/{tableBucketARN}/metrics,GET,tableBucketARN,,,,Gets the metrics configuration for a table buck...,table_bucket_metrics_configurations,get_table_bucket_metrics_configuration,select,,,,,
GetTableBucketPolicy,/buckets/{tableBucketARN}/policy,GET,tableBucketARN,,,,Gets details about a table bucket policy. For m...,table_bucket_policies,get_table_bucket_policy,select,,,,,
GetTableBucketReplication,/table-bucket-replication,GET,,,tableBucketARN,,Retrieves the replication configuration for a t...,table_bucket_replication,get_table_bucket_replication,select,,,,,
GetTableBucketStorageClass,/buckets/{tableBucketARN}/storage-class,GET,tableBucketARN,,,,Retrieves the storage class configuration for a...,table_bucket_storage_classes,get_table_bucket_storage_class,select,,,,,
GetTableEncryption,/tables/{tableBucketARN}/{namespace}/{name}/encryption,GET,"name,namespace,tableBucketARN",,,,Gets the encryption configuration for a table. ...,table_encryption,get_table_encryption,select,,,,,
GetTableMaintenanceConfiguration,/tables/{tableBucketARN}/{namespace}/{name}/maintenance,GET,"name,namespace,tableBucketARN",,,,Gets details about the maintenance configuratio...,table_maintenance_configurations,get_table_maintenance_configuration,select,,,,,
GetTableMaintenanceJobStatus,/tables/{tableBucketARN}/{namespace}/{name}/maintenance-job-status,GET,"name,namespace,tableBucketARN",,,,Gets the status of a maintenance job for a tabl...,table_maintenance_job_statuses,get_table_maintenance_job_status,select,,,,,
GetTableMetadataLocation,/tables/{tableBucketARN}/{namespace}/{name}/metadata-location,GET,"name,namespace,tableBucketARN",,,,Gets the location of the table metadata. Permis...,table_metadata_locations,get_table_metadata_location,select,,,,,
GetTablePolicy,/tables/{tableBucketARN}/{namespace}/{name}/policy,GET,"name,namespace,tableBucketARN",,,,Gets details about a table policy. For more inf...,table_policies,get_table_policy,select,,,,,
GetTableRecordExpirationConfiguration,/table-record-expiration,GET,,,tableArn,,Retrieves the expiration configuration settings...,table_record_expiration_configurations,get_table_record_expiration_configuration,select,,,,,
GetTableRecordExpirationJobStatus,/table-record-expiration-job-status,GET,,,tableArn,,"Retrieves the status, metrics, and details of t...",table_record_expiration_job_statuses,get_table_record_expiration_job_status,select,,,,,
GetTableReplication,/table-replication,GET,,,tableArn,,Retrieves the replication configuration for a s...,table_replication,get_table_replication,select,,,,,
GetTableReplicationStatus,/replication-status,GET,,,tableArn,,"Retrieves the replication status for a table, i...",table_replication_statuses,get_table_replication_status,select,,,,,
GetTableStorageClass,/tables/{tableBucketARN}/{namespace}/{name}/storage-class,GET,"name,namespace,tableBucketARN",,,,Retrieves the storage class configuration for a...,table_storage_classes,get_table_storage_class,select,,,,,
ListNamespaces,/namespaces/{tableBucketARN},GET,tableBucketARN,,,,Lists the namespaces within a table bucket. For...,namespaces,list_namespaces,select,$.namespaces,,,,
ListTableBuckets,/buckets,GET,,,,,Lists table buckets for your account. For more ...,table_buckets,list_table_buckets,select,$.tableBuckets,,,,
ListTables,/tables/{tableBucketARN},GET,tableBucketARN,,,,List tables in the given table bucket. For more...,tables,list_tables,select,$.tables,,,,
ListTagsForResource,/tag/{resourceArn},GET,resourceArn,,,,Lists all of the tags applied to a specified Am...,tags,list_tags_for_resource,select,,,,,
PutTableBucketEncryption,/buckets/{tableBucketARN}/encryption,PUT,tableBucketARN,,,name,Sets the encryption configuration for a table b...,table_bucket_encryption,put_table_bucket_encryption,replace,,,,,
PutTableBucketMaintenanceConfiguration,/buckets/{tableBucketARN}/maintenance/{type},PUT,"tableBucketARN,type",,,"tableBucketARN,type,value",Creates a new maintenance configuration or repl...,table_bucket_maintenance_configurations,put_table_bucket_maintenance_configuration,replace,,,,,
PutTableBucketMetricsConfiguration,/buckets/{tableBucketARN}/metrics,PUT,tableBucketARN,,,,Sets the metrics configuration for a table buck...,table_bucket_metrics_configurations,put_table_bucket_metrics_configuration,replace,,,,,
PutTableBucketPolicy,/buckets/{tableBucketARN}/policy,PUT,tableBucketARN,,,resourcePolicy,Creates a new table bucket policy or replaces a...,table_bucket_policies,put_table_bucket_policy,replace,,,,,
PutTableBucketReplication,/table-bucket-replication,PUT,,,tableBucketARN,"configuration,tableBucketARN",Creates or updates the replication configuratio...,table_bucket_replication,put_table_bucket_replication,replace,,,,,
PutTableBucketStorageClass,/buckets/{tableBucketARN}/storage-class,PUT,tableBucketARN,,,name,Sets or updates the storage class configuration...,table_bucket_storage_classes,put_table_bucket_storage_class,replace,,,,,
PutTableMaintenanceConfiguration,/tables/{tableBucketARN}/{namespace}/{name}/maintenance/{type},PUT,"name,namespace,tableBucketARN,type",,,"tableBucketARN,type,value",Creates a new maintenance configuration or repl...,table_maintenance_configurations,put_table_maintenance_configuration,replace,,,,,
PutTablePolicy,/tables/{tableBucketARN}/{namespace}/{name}/policy,PUT,"name,namespace,tableBucketARN",,,resourcePolicy,Creates a new table policy or replaces an exist...,table_policies,put_table_policy,replace,,,,,
PutTableRecordExpirationConfiguration,/table-record-expiration,PUT,,,tableArn,"tableBucketARN,type,value",Creates or updates the expiration configuration...,table_record_expiration_configurations,put_table_record_expiration_configuration,replace,,,,,
PutTableReplication,/table-replication,PUT,,,tableArn,"configuration,tableBucketARN",Creates or updates the replication configuratio...,table_replication,put_table_replication,replace,,,,,
RenameTable,/tables/{tableBucketARN}/{namespace}/{name}/rename,PUT,"name,namespace,tableBucketARN",,,"name,namespace,tableBucketARN",Renames a table or a namespace. For more inform...,tables,rename_table,exec,,,,,
TagResource,/tag/{resourceArn},POST,resourceArn,,,name,Applies one or more user-defined tags to an Ama...,tags,tag_resource,exec,,,,,
UntagResource,/tag/{resourceArn},DELETE,resourceArn,,tagKeys,,Removes the specified user-defined tags from an...,tags,untag_resource,exec,,,,,
UpdateTableMetadataLocation,/tables/{tableBucketARN}/{namespace}/{name}/metadata-location,PUT,"name,namespace,tableBucketARN",,,"versionToken,warehouseLocation",Updates the metadata location for a table. The ...,table_metadata_locations,update_table_metadata_location,update,,,,,
