operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateSchedule,/schedules/{Name},POST,Creates the specified schedule.,schedules,create_schedule,insert,,,,,
CreateScheduleGroup,/schedule-groups/{Name},POST,Creates the specified schedule group.,schedule_groups,create_schedule_group,insert,,,,,
DeleteSchedule,/schedules/{Name},DELETE,Deletes the specified schedule.,schedules,delete_schedule,delete,,,,,
DeleteScheduleGroup,/schedule-groups/{Name},DELETE,Deletes the specified schedule group. Deleting ...,schedule_groups,delete_schedule_group,delete,,,,,
GetSchedule,/schedules/{Name},GET,Retrieves the specified schedule.,schedules,get_schedule,select,,,,,
GetScheduleGroup,/schedule-groups/{Name},GET,Retrieves the specified schedule group.,schedule_groups,get_schedule_group,select,,,,,
ListScheduleGroups,/schedule-groups,GET,Returns a paginated list of your schedule groups.,schedule_groups,list_schedule_groups,select,$.ScheduleGroups,,,,
ListSchedules,/schedules,GET,Returns a paginated list of your EventBridge Sc...,schedules,list_schedules,select,$.Schedules,,,,
ListTagsForResource,/tags/{ResourceArn},GET,Lists the tags associated with the Scheduler re...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},POST,Assigns one or more tags (key-value pairs) to t...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,Removes one or more tags from the specified Eve...,tags,untag_resource,delete,,,,,
UpdateSchedule,/schedules/{Name},PUT,Updates the specified schedule. When you call `...,schedules,update_schedule,update,,,,,
