operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateAttributeGroup,/applications/{application}/attribute-groups/{attributeGroup},PUT,"application,attributeGroup",,,,Associates an attribute group with an applicati...,application_attribute_groups,associate_attribute_group,exec,,,,,
AssociateResource,/applications/{application}/resources/{resourceType}/{resource},PUT,"application,resource,resourceType",,,"application,resource,resourceType",Associates a resource with an application. The ...,application_resources,associate_resource,exec,,,,,
CreateApplication,/applications,POST,,,,"clientToken,name",Creates a new application that is the top-level...,applications,create_application,insert,,,,,
CreateAttributeGroup,/attribute-groups,POST,,,,"attributes,clientToken,name",Creates a new attribute group as a container fo...,attribute_groups,create_attribute_group,insert,,,,,
DeleteApplication,/applications/{application},DELETE,application,,,,Deletes an application that is specified either...,applications,delete_application,delete,,,,,
DeleteAttributeGroup,/attribute-groups/{attributeGroup},DELETE,attributeGroup,,,,"Deletes an attribute group, specified either by...",attribute_groups,delete_attribute_group,delete,,,,,
DisassociateAttributeGroup,/applications/{application}/attribute-groups/{attributeGroup},DELETE,"application,attributeGroup",,,,Disassociates an attribute group from an applic...,application_attribute_groups,disassociate_attribute_group,delete,,,,,
DisassociateResource,/applications/{application}/resources/{resourceType}/{resource},DELETE,"application,resource,resourceType",,,,Disassociates a resource from application. Both...,application_resources,disassociate_resource,delete,,,,,
GetApplication,/applications/{application},GET,application,,,,Retrieves metadata information about one of you...,applications,get_application,select,,,,,
GetAssociatedResource,/applications/{application}/resources/{resourceType}/{resource},GET,"application,resource,resourceType",,,,Gets the resource associated with the application.,application_resources,get_associated_resource,select,,,,,
GetAttributeGroup,/attribute-groups/{attributeGroup},GET,attributeGroup,,,,"Retrieves an attribute group by its ARN, ID, or...",attribute_groups,get_attribute_group,select,,,,,
GetConfiguration,/configuration,GET,,,,,Retrieves a `TagKey` configuration from an acco...,configurations,get_configuration,select,,,,,
ListApplications,/applications,GET,,,,,Retrieves a list of all of your applications. R...,applications,list_applications,select,$.applications,,,,
ListAssociatedAttributeGroups,/applications/{application}/attribute-groups,GET,application,,,,Lists all attribute groups that are associated ...,application_attribute_groups,list_associated_attribute_groups,select,$.attributeGroups,,,,
ListAssociatedResources,/applications/{application}/resources,GET,application,,,,Lists all of the resources that are associated ...,application_resources,list_associated_resources,select,$.resources,,,,
ListAttributeGroups,/attribute-groups,GET,,,,,Lists all attribute groups which you have acces...,attribute_groups,list_attribute_groups,select,$.attributeGroups,,,,
ListAttributeGroupsForApplication,/applications/{application}/attribute-group-details,GET,application,,,,Lists the details of all attribute groups assoc...,application_attribute_group_details,list_attribute_groups_for_application,select,$.attributeGroupsDetails,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Lists all of the tags on the resource.,tags,list_tags_for_resource,select,,,,,
PutConfiguration,/configuration,PUT,,,,,Associates a `TagKey` configuration to an account.,configurations,put_configuration,replace,,,,,
SyncResource,/sync/{resourceType}/{resource},POST,"resource,resourceType",,,,Syncs the resource with current AppRegistry rec...,resources,sync_resource,exec,,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,,Assigns one or more tags (key-value pairs) to t...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Removes tags from a resource. This operation re...,tags,untag_resource,exec,,,,,
UpdateApplication,/applications/{application},PATCH,application,,,,Updates an existing application with new attrib...,applications,update_application,update,,,,,
UpdateAttributeGroup,/attribute-groups/{attributeGroup},PATCH,attributeGroup,,,"attributes,clientToken,name",Updates an existing attribute group with new de...,attribute_groups,update_attribute_group,update,,,,,
