operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateServiceQuotaTemplate,/#X-Amz-Target=ServiceQuotasV20190624.AssociateServiceQuotaTemplate,POST,Associates your quota request template with you...,service_quota_templates,associate_service_quota_template,exec,,,,,
CreateSupportCase,/#X-Amz-Target=ServiceQuotasV20190624.CreateSupportCase,POST,Creates a Support case for an existing quota in...,support_cases,create_support_case,insert,,,,,
DeleteServiceQuotaIncreaseRequestFromTemplate,/#X-Amz-Target=ServiceQuotasV20190624.DeleteServiceQuotaIncreaseRequestFromTemplate,POST,Deletes the quota increase request for the spec...,service_quota_increase_requests_in_template,delete_service_quota_increase_request_from_template,delete,,,,,
DisassociateServiceQuotaTemplate,/#X-Amz-Target=ServiceQuotasV20190624.DisassociateServiceQuotaTemplate,POST,Disables your quota request template. After a t...,service_quota_templates,disassociate_service_quota_template,exec,,,,,
GetAWSDefaultServiceQuota,/#X-Amz-Target=ServiceQuotasV20190624.GetAWSDefaultServiceQuota,POST,Retrieves the default value for the specified q...,aws_default_service_quotas,get_aws_default_service_quota,select,,,,,
GetAssociationForServiceQuotaTemplate,/#X-Amz-Target=ServiceQuotasV20190624.GetAssociationForServiceQuotaTemplate,POST,Retrieves the status of the association for the...,service_quota_template_associations,get_association_for_service_quota_template,select,,,,,
GetAutoManagementConfiguration,/#X-Amz-Target=ServiceQuotasV20190624.GetAutoManagementConfiguration,POST,Retrieves information about your [Service Quota...,auto_management_configurations,get_auto_management_configuration,select,,,,,
GetRequestedServiceQuotaChange,/#X-Amz-Target=ServiceQuotasV20190624.GetRequestedServiceQuotaChange,POST,Retrieves information about the specified quota...,requested_service_quota_changes,get_requested_service_quota_change,select,,,,,
GetServiceQuota,/#X-Amz-Target=ServiceQuotasV20190624.GetServiceQuota,POST,Retrieves the applied quota value for the speci...,service_quotas,get_service_quota,select,,,,,
GetServiceQuotaIncreaseRequestFromTemplate,/#X-Amz-Target=ServiceQuotasV20190624.GetServiceQuotaIncreaseRequestFromTemplate,POST,Retrieves information about the specified quota...,service_quota_increase_requests_in_template,get_service_quota_increase_request_from_template,select,,,,,
ListAWSDefaultServiceQuotas,/#X-Amz-Target=ServiceQuotasV20190624.ListAWSDefaultServiceQuotas,POST,Lists the default values for the quotas for the...,aws_default_service_quotas,list_aws_default_service_quotas,select,$.Quotas,,,,
ListRequestedServiceQuotaChangeHistory,/#X-Amz-Target=ServiceQuotasV20190624.ListRequestedServiceQuotaChangeHistory,POST,Retrieves the quota increase requests for the s...,requested_service_quota_change_history,list_requested_service_quota_change_history,select,$.RequestedQuotas,,,,
ListRequestedServiceQuotaChangeHistoryByQuota,/#X-Amz-Target=ServiceQuotasV20190624.ListRequestedServiceQuotaChangeHistoryByQuota,POST,Retrieves the quota increase requests for the s...,requested_service_quota_change_history_by_quota,list_requested_service_quota_change_history_by_quota,select,$.RequestedQuotas,,,,
ListServiceQuotaIncreaseRequestsInTemplate,/#X-Amz-Target=ServiceQuotasV20190624.ListServiceQuotaIncreaseRequestsInTemplate,POST,Lists the quota increase requests in the specif...,service_quota_increase_requests_in_template,list_service_quota_increase_requests_in_template,select,$.ServiceQuotaIncreaseRequestInTemplateList,,,,
ListServiceQuotas,/#X-Amz-Target=ServiceQuotasV20190624.ListServiceQuotas,POST,Lists the applied quota values for the specifie...,service_quotas,list_service_quotas,select,$.Quotas,,,,
ListServices,/#X-Amz-Target=ServiceQuotasV20190624.ListServices,POST,Lists the names and codes for the Amazon Web Se...,services,list_services,select,$.Services,,,,
ListTagsForResource,/#X-Amz-Target=ServiceQuotasV20190624.ListTagsForResource,POST,Returns a list of the tags assigned to the spec...,tags,list_tags_for_resource,select,,,,,
PutServiceQuotaIncreaseRequestIntoTemplate,/#X-Amz-Target=ServiceQuotasV20190624.PutServiceQuotaIncreaseRequestIntoTemplate,POST,Adds a quota increase request to your quota req...,service_quota_increase_requests_in_template,put_service_quota_increase_request_into_template,replace,,,,,
RequestServiceQuotaIncrease,/#X-Amz-Target=ServiceQuotasV20190624.RequestServiceQuotaIncrease,POST,Submits a quota increase request for the specif...,requested_service_quota_changes,request_service_quota_increase,exec,,,,,
StartAutoManagement,/#X-Amz-Target=ServiceQuotasV20190624.StartAutoManagement,POST,Starts [Service Quotas Automatic Management](ht...,auto_management,start_auto_management,exec,,,,,
StopAutoManagement,/#X-Amz-Target=ServiceQuotasV20190624.StopAutoManagement,POST,Stops [Service Quotas Automatic Management](htt...,auto_management,stop_auto_management,exec,,,,,
TagResource,/#X-Amz-Target=ServiceQuotasV20190624.TagResource,POST,Adds tags to the specified applied quota. You c...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=ServiceQuotasV20190624.UntagResource,POST,Removes tags from the specified applied quota. ...,tags,untag_resource,exec,,,,,
UpdateAutoManagement,/#X-Amz-Target=ServiceQuotasV20190624.UpdateAutoManagement,POST,Updates your [Service Quotas Automatic Manageme...,auto_management,update_auto_management,update,,,,,
