operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetInstance,/#X-Amz-Target=Route53AutoNaming_v20170314.GetInstance,POST,,,,"InstanceId,ServiceId",Gets information about a specified instance.,instances,get_instance,select,,,,,
DeregisterInstance,/#X-Amz-Target=Route53AutoNaming_v20170314.DeregisterInstance,POST,,,,"InstanceId,ServiceId",Deletes the Amazon Route 53 DNS records and hea...,instances,deregister_instance,exec,,,,,
DiscoverInstances,/#X-Amz-Target=Route53AutoNaming_v20170314.DiscoverInstances,POST,,,,"NamespaceName,ServiceName",Discovers registered instances for a specified ...,instances,discover_instances,exec,,,,,
DiscoverInstancesRevision,/#X-Amz-Target=Route53AutoNaming_v20170314.DiscoverInstancesRevision,POST,,,,"NamespaceName,ServiceName",Discovers the increasing revision associated wi...,instances,discover_instances_revision,exec,,,,,
ListInstances,/#X-Amz-Target=Route53AutoNaming_v20170314.ListInstances,POST,,,,ServiceId,Lists summary information about the instances t...,instances,list_instances,select,,,,,
RegisterInstance,/#X-Amz-Target=Route53AutoNaming_v20170314.RegisterInstance,POST,,,,"Attributes,InstanceId,ServiceId","Creates or updates one or more records and, opt...",instances,register_instance,exec,,,,,
UpdateInstanceCustomHealthStatus,/#X-Amz-Target=Route53AutoNaming_v20170314.UpdateInstanceCustomHealthStatus,POST,,,,"InstanceId,ServiceId,Status",Submits a request to change the health status o...,instances_health_status,update_instance_custom_health_status,update,,,,,
GetInstancesHealthStatus,/#X-Amz-Target=Route53AutoNaming_v20170314.GetInstancesHealthStatus,POST,,,,ServiceId,"Gets the current health status (`Healthy`, `Unh...",instances_health_status,get_instances_health_status,select,,,,,
CreatePrivateDnsNamespace,/#X-Amz-Target=Route53AutoNaming_v20170314.CreatePrivateDnsNamespace,POST,,,,"Name,Vpc","Creates a private namespace based on DNS, which...",create_private_dns_namespace,create_private_dns_namespace,insert,,,,,
CreatePublicDnsNamespace,/#X-Amz-Target=Route53AutoNaming_v20170314.CreatePublicDnsNamespace,POST,,,,Name,"Creates a public namespace based on DNS, which ...",public_dns_namespace,create_public_dns_namespace,exec,,,,,
GetNamespace,/#X-Amz-Target=Route53AutoNaming_v20170314.GetNamespace,POST,,,,Id,Gets information about a namespace.,namespaces,get_namespace,select,,,,,
UpdatePrivateDnsNamespace,/#X-Amz-Target=Route53AutoNaming_v20170314.UpdatePrivateDnsNamespace,POST,,,,"Id,Namespace",Updates a private DNS namespace.,create_private_dns_namespace,update_private_dns_namespace,update,,,,,
