operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddProfilePermission,/signing-profiles/{profileName}/permissions,POST,Adds cross-account permissions to a signing pro...,,add_profile_permission,exec,,,,,
CancelSigningProfile,/signing-profiles/{profileName},DELETE,Changes the state of an `ACTIVE` signing profil...,,cancel_signing_profile,delete,,,,,
DescribeSigningJob,/signing-jobs/{jobId},GET,Returns information about a specific code signi...,,describe_signing_job,select,,,,,
GetRevocationStatus,/revocations,GET,Retrieves the revocation status of one or more ...,,get_revocation_status,select,,,,,
GetSigningPlatform,/signing-platforms/{platformId},GET,Returns information on a specific signing platf...,,get_signing_platform,select,,,,,
GetSigningProfile,/signing-profiles/{profileName},GET,Returns information on a specific signing profile.,,get_signing_profile,select,,,,,
ListProfilePermissions,/signing-profiles/{profileName}/permissions,GET,Lists the cross-account permissions associated ...,,list_profile_permissions,select,,,,,
ListSigningJobs,/signing-jobs,GET,Lists all your signing jobs. You can use the `m...,,list_signing_jobs,select,,,,,
ListSigningPlatforms,/signing-platforms,GET,Lists all signing platforms available in AWS Si...,,list_signing_platforms,select,,,,,
ListSigningProfiles,/signing-profiles,GET,Lists all available signing profiles in your AW...,,list_signing_profiles,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,Returns a list of the tags associated with a si...,,list_tags_for_resource,select,,,,,
PutSigningProfile,/signing-profiles/{profileName},PUT,Creates a signing profile. A signing profile is...,,put_signing_profile,replace,,,,,
RemoveProfilePermission,/signing-profiles/{profileName}/permissions/{statementId},DELETE,Removes cross-account permissions from a signin...,,remove_profile_permission,delete,,,,,
RevokeSignature,/signing-jobs/{jobId}/revoke,PUT,Changes the state of a signing job to REVOKED. ...,,revoke_signature,exec,,,,,
RevokeSigningProfile,/signing-profiles/{profileName}/revoke,PUT,Changes the state of a signing profile to REVOK...,,revoke_signing_profile,exec,,,,,
SignPayload,/signing-jobs/with-payload,POST,Signs a binary payload and returns a signature ...,,sign_payload,exec,,,,,
StartSigningJob,/signing-jobs,POST,Initiates a signing job to be performed on the ...,,start_signing_job,exec,,,,,
TagResource,/tags/{resourceArn},POST,Adds one or more tags to a signing profile. Tag...,,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Removes one or more tags from a signing profile...,,untag_resource,delete,,,,,
