operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeApp,/describeapp,GET,,,"app,domain,simulation",,Returns the state of the given custom app.,apps,describe_app,select,,,,,
DeleteApp,/deleteapp,DELETE,,,"app,domain,simulation",,Deletes the instance of the given custom app.,apps,delete_app,delete,,,,,
ListApps,/listapps,GET,,,simulation,,Lists all custom apps or service apps for the g...,apps,list_apps,select,,,,,
StartApp,/startapp,POST,,,,"Domain,Name,Simulation",Starts a custom app with the configuration spec...,apps,start_app,exec,,,,,
StopApp,/stopapp,POST,,,,"App,Domain,Simulation",Stops the given custom app and shuts down all o...,apps,stop_app,exec,,,,,
StartClock,/startclock,POST,,,,"Destination,Simulation",Starts the simulation clock.,clocks,start_clock,exec,,,,,
StopClock,/stopclock,POST,,,,"Destination,Simulation",Stops the simulation clock.,clocks,stop_clock,exec,,,,,
DescribeSimulation,/describesimulation,GET,,,simulation,,Returns the current state of the given simulation.,simulations,describe_simulation,select,,,,,
DeleteSimulation,/deletesimulation,DELETE,,,simulation,,Deletes all SimSpace Weaver resources assigned ...,simulations,delete_simulation,delete,,,,,
ListSimulations,/listsimulations,GET,,,,,Lists the SimSpace Weaver simulations in the Am...,simulations,list_simulations,select,,,,,
StartSimulation,/startsimulation,POST,,,,"Name,RoleArn",Starts a simulation with the given name. You mu...,simulations,start_simulation,exec,,,,,
StopSimulation,/stopsimulation,POST,,,,"Destination,Simulation",Stops the given simulation. You can't restart a...,simulations,stop_simulation,exec,,,,,
CreateSnapshot,/createsnapshot,POST,,,,"Destination,Simulation",Creates a snapshot of the specified simulation....,snapshots,create_snapshot,insert,,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Lists all tags on a SimSpace Weaver resource.,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,,Adds tags to a SimSpace Weaver resource. For mo...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Removes tags from a SimSpace Weaver resource. F...,tags,untag_resource,exec,,,,,
