operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CancelTask,/task/{taskId}/cancel,POST,taskId,,,,Sends a cancel request for a specified task. Yo...,tasks,cancel_task,exec,,,,,
CreateTask,/task,POST,,,,"command,targets","Instructs one or more devices to start a task, ...",tasks,create_task,insert,,,,,
DescribeDevice,/managed-device/{managedDeviceId}/describe,POST,managedDeviceId,,,,"Checks device-specific information, such as the...",devices,describe_device,select,,,,,
DescribeDeviceEc2Instances,/managed-device/{managedDeviceId}/resources/ec2/describe,POST,managedDeviceId,,,"instanceIds,managedDeviceId",Checks the current state of the Amazon EC2 inst...,device_ec2_instances,describe_device_ec2_instances,select,,,,,
DescribeExecution,/task/{taskId}/execution/{managedDeviceId},POST,"managedDeviceId,taskId",,,,Checks the status of a remote task running on o...,executions,describe_execution,select,,,,,
DescribeTask,/task/{taskId},POST,taskId,,,,Checks the metadata for a given task on a device.,tasks,describe_task,select,,,,,
ListDeviceResources,/managed-device/{managedDeviceId}/resources,GET,managedDeviceId,,,,Returns a list of the Amazon Web Services resou...,device_resources,list_device_resources,select,$.resources,,,,
ListDevices,/managed-devices,GET,,,,,Returns a list of all devices on your Amazon We...,devices,list_devices,select,$.devices,,,,
ListExecutions,/executions,GET,,,taskId,,Returns the status of tasks for one or more tar...,executions,list_executions,select,$.executions,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Returns a list of tags for a managed device or ...,tags,list_tags_for_resource,select,,,,,
ListTasks,/tasks,GET,,,,,Returns a list of tasks that can be filtered by...,tasks,list_tasks,select,$.tasks,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,"command,targets",Adds or replaces tags on a device or task.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Removes a tag from a device or task.,tags,untag_resource,exec,,,,,
