operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddPermission,/#Action=AddPermission,GET,,,"AWSAccountId,Action,ActionName,Label,TopicArn,Version",,Adds a statement to a topic's access control po...,topics,add_permission,exec,,,,,
CheckIfPhoneNumberIsOptedOut,/#Action=CheckIfPhoneNumberIsOptedOut,GET,,,"Action,Version,phoneNumber",,Accepts a phone number and indicates whether th...,phone_numbers,check_if_phone_number_is_opted_out,exec,,,,,
ConfirmSubscription,/#Action=ConfirmSubscription,GET,,,"Action,Token,TopicArn,Version",,Verifies an endpoint owner's intent to receive ...,subscriptions,confirm_subscription,exec,,,,,
CreatePlatformApplication,/#Action=CreatePlatformApplication,GET,,,"Action,Attributes,Name,Platform,Version",,Creates a platform application object for one o...,platform_applications,create_platform_application,insert,,,,,
CreatePlatformEndpoint,/#Action=CreatePlatformEndpoint,GET,,,"Action,PlatformApplicationArn,Token,Version",,Creates an endpoint for a device and mobile app...,platform_endpoints,create_platform_endpoint,insert,,,,,
CreateSMSSandboxPhoneNumber,/#Action=CreateSMSSandboxPhoneNumber,GET,,,"Action,PhoneNumber,Version",,Adds a destination phone number to an Amazon We...,sms_sandbox_phone_numbers,create_sms_sandbox_phone_number,insert,,,,,
CreateTopic,/#Action=CreateTopic,GET,,,"Action,Name,Version",,Creates a topic to which notifications can be p...,topics,create_topic,insert,,,,,
DeleteEndpoint,/#Action=DeleteEndpoint,GET,,,"Action,EndpointArn,Version",,Deletes the endpoint for a device and mobile ap...,platform_endpoints,delete_endpoint,delete,,,,,
DeletePlatformApplication,/#Action=DeletePlatformApplication,GET,,,"Action,PlatformApplicationArn,Version",,Deletes a platform application object for one o...,platform_applications,delete_platform_application,delete,,,,,
DeleteSMSSandboxPhoneNumber,/#Action=DeleteSMSSandboxPhoneNumber,GET,,,"Action,PhoneNumber,Version",,Deletes an Amazon Web Services account's verifi...,sms_sandbox_phone_numbers,delete_sms_sandbox_phone_number,delete,,,,,
DeleteTopic,/#Action=DeleteTopic,GET,,,"Action,TopicArn,Version",,Deletes a topic and all its subscriptions. Dele...,topics,delete_topic,delete,,,,,
GetDataProtectionPolicy,/#Action=GetDataProtectionPolicy,GET,,,"Action,ResourceArn,Version",,Retrieves the specified inline `DataProtectionP...,data_protection_policies,get_data_protection_policy,select,,,,,
GetEndpointAttributes,/#Action=GetEndpointAttributes,GET,,,"Action,EndpointArn,Version",,Retrieves the endpoint attributes for a device ...,platform_endpoints,get_endpoint_attributes,select,,,,,
GetPlatformApplicationAttributes,/#Action=GetPlatformApplicationAttributes,GET,,,"Action,PlatformApplicationArn,Version",,Retrieves the attributes of the platform applic...,platform_application,get_platform_application_attributes,select,,,,,
GetSMSAttributes,/#Action=GetSMSAttributes,GET,,,"Action,Version",,Returns the settings for sending SMS messages f...,sms_attributes,get_sms_attributes,select,,,,,
GetSMSSandboxAccountStatus,/#Action=GetSMSSandboxAccountStatus,GET,,,"Action,Version",,Retrieves the SMS sandbox status for the callin...,sms_sandbox_account_status,get_sms_sandbox_account_status,select,,,,,
GetSubscriptionAttributes,/#Action=GetSubscriptionAttributes,GET,,,"Action,SubscriptionArn,Version",,Returns all of the properties of a subscription.,subscriptions,get_subscription_attributes,select,,,,,
GetTopicAttributes,/#Action=GetTopicAttributes,GET,,,"Action,TopicArn,Version",,Returns all of the properties of a topic. Topic...,topic,get_topic_attributes,select,,,,,
ListEndpointsByPlatformApplication,/#Action=ListEndpointsByPlatformApplication,GET,,,"Action,PlatformApplicationArn,Version",,Lists the endpoints and endpoint attributes for...,platform_applications,list_endpoints_by_platform_application,select,$.Endpoints,,,,
ListOriginationNumbers,/#Action=ListOriginationNumbers,GET,,,"Action,Version",,Lists the calling Amazon Web Services account's...,origination_numbers,list_origination_numbers,select,$.PhoneNumbers,,,,
ListPhoneNumbersOptedOut,/#Action=ListPhoneNumbersOptedOut,GET,,,"Action,Version",,Returns a list of phone numbers that are opted ...,phone_numbers,list_phone_numbers_opted_out,select,$.phoneNumbers,nextToken,body,nextToken,body
ListPlatformApplications,/#Action=ListPlatformApplications,GET,,,"Action,Version",,Lists the platform application objects for the ...,platform_application,list_platform_applications,select,$.PlatformApplications,,,,
ListSMSSandboxPhoneNumbers,/#Action=ListSMSSandboxPhoneNumbers,GET,,,"Action,Version",,Lists the calling Amazon Web Services account's...,sms_sandbox_phone_numbers,list_sms_sandbox_phone_numbers,select,$.PhoneNumbers,,,,
ListSubscriptions,/#Action=ListSubscriptions,GET,,,"Action,Version",,Returns a list of the requester's subscriptions...,subscriptions,list_subscriptions,select,$.Subscriptions,,,,
ListSubscriptionsByTopic,/#Action=ListSubscriptionsByTopic,GET,,,"Action,TopicArn,Version",,Returns a list of the subscriptions to a specif...,topics,list_subscriptions_by_topic,select,$.Subscriptions,,,,
ListTagsForResource,/#Action=ListTagsForResource,GET,,,"Action,ResourceArn,Version",,List all tags added to the specified Amazon SNS...,tags,list_tags_for_resource,select,,,,,
ListTopics,/#Action=ListTopics,GET,,,"Action,Version",,Returns a list of the requester's topics. Each ...,topic,list_topics,select,$.Topics,,,,
OptInPhoneNumber,/#Action=OptInPhoneNumber,GET,,,"Action,Version,phoneNumber",,Use this request to opt in a phone number that ...,phone_numbers,opt_in_phone_number,exec,,,,,
Publish,/#Action=Publish,GET,,,"Action,Message,Version",,"Sends a message to an Amazon SNS topic, a text ...",topics,publish,exec,,,,,
PublishBatch,/#Action=PublishBatch,GET,,,"Action,PublishBatchRequestEntries,TopicArn,Version",,Publishes up to 10 messages to the specified to...,topics,publish_batch,exec,,,,,
PutDataProtectionPolicy,/#Action=PutDataProtectionPolicy,GET,,,"Action,DataProtectionPolicy,ResourceArn,Version",,Adds or updates an inline policy document that ...,data_protection_policies,put_data_protection_policy,replace,,,,,
RemovePermission,/#Action=RemovePermission,GET,,,"Action,Label,TopicArn,Version",,Removes a statement from a topic's access contr...,topics,remove_permission,exec,,,,,
SetEndpointAttributes,/#Action=SetEndpointAttributes,GET,,,"Action,Attributes,EndpointArn,Version",,Sets the attributes for an endpoint for a devic...,platform_endpoints,set_endpoint_attributes,exec,,,,,
SetPlatformApplicationAttributes,/#Action=SetPlatformApplicationAttributes,GET,,,"Action,Attributes,PlatformApplicationArn,Version",,Sets the attributes of the platform application...,platform_applications,set_platform_application_attributes,exec,,,,,
SetSMSAttributes,/#Action=SetSMSAttributes,GET,,,"Action,Version,attributes",,Use this request to set the default settings fo...,sms_attributes,set_sms_attributes,exec,,,,,
SetSubscriptionAttributes,/#Action=SetSubscriptionAttributes,GET,,,"Action,AttributeName,SubscriptionArn,Version",,Allows a subscription owner to set an attribute...,subscriptions,set_subscription_attributes,exec,,,,,
SetTopicAttributes,/#Action=SetTopicAttributes,GET,,,"Action,AttributeName,TopicArn,Version",,Allows a topic owner to set an attribute of the...,topics,set_topic_attributes,exec,,,,,
Subscribe,/#Action=Subscribe,GET,,,"Action,Protocol,TopicArn,Version",,Subscribes an endpoint to an Amazon SNS topic. ...,subscriptions,subscribe,exec,,,,,
TagResource,/#Action=TagResource,GET,,,"Action,ResourceArn,Tags,Version",,Add tags to the specified Amazon SNS topic. For...,tags,tag_resource,exec,,,,,
Unsubscribe,/#Action=Unsubscribe,GET,,,"Action,SubscriptionArn,Version",,Deletes a subscription. If the subscription req...,subscriptions,unsubscribe,exec,,,,,
UntagResource,/#Action=UntagResource,GET,,,"Action,ResourceArn,TagKeys,Version",,Remove tags from the specified Amazon SNS topic...,tags,untag_resource,exec,,,,,
VerifySMSSandboxPhoneNumber,/#Action=VerifySMSSandboxPhoneNumber,GET,,,"Action,OneTimePassword,PhoneNumber,Version",,Verifies a destination phone number with a one-...,sms_sandbox_phone_numbers,verify_sms_sandbox_phone_number,exec,,,,,
