operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
StartAccessRequest,/#X-Amz-Target=AmazonSSM.StartAccessRequest,POST,,,,"Reason,Targets",Starts the workflow for just-in-time node acces...,access_requests,start_access_request,exec,,,,,
GetAccessToken,/#X-Amz-Target=AmazonSSM.GetAccessToken,POST,,,,AccessRequestId,Returns a credentials set to be used with just-...,access_tokens,get_access_token,select,,,,,
CreateActivation,/#X-Amz-Target=AmazonSSM.CreateActivation,POST,,,,IamRole,Generates an activation code and activation ID ...,activations,create_activation,insert,,,,,
DeleteActivation,/#X-Amz-Target=AmazonSSM.DeleteActivation,POST,,,,ActivationId,Deletes an activation. You aren't required to d...,activations,delete_activation,delete,,,,,
DescribeActivations,/#X-Amz-Target=AmazonSSM.DescribeActivations,POST,,,,,"Describes details about the activation, such as...",activations,describe_activations,select,$.ActivationList,,,,
DescribeAssociationExecutionTargets,/#X-Amz-Target=AmazonSSM.DescribeAssociationExecutionTargets,POST,,,,"AssociationId,ExecutionId",Views information about a specific execution of...,association_execution_targets,describe_association_execution_targets,select,$.AssociationExecutionTargets,,,,
DescribeAssociationExecutions,/#X-Amz-Target=AmazonSSM.DescribeAssociationExecutions,POST,,,,AssociationId,Views all executions for a specific association...,association_executions,describe_association_executions,select,$.AssociationExecutions,,,,
ListAssociations,/#X-Amz-Target=AmazonSSM.ListAssociations,POST,,,,,Returns all State Manager associations in the c...,association_summaries,list_associations,select,$.Associations,,,,
ListAssociationVersions,/#X-Amz-Target=AmazonSSM.ListAssociationVersions,POST,,,,AssociationId,Retrieves all versions of an association for a ...,association_versions,list_association_versions,select,$.AssociationVersions,,,,
CreateAssociationBatch,/#X-Amz-Target=AmazonSSM.CreateAssociationBatch,POST,,,,Entries,Associates the specified Amazon Web Services Sy...,associations,create_association_batch,insert,,,,,
UpdateAssociationStatus,/#X-Amz-Target=AmazonSSM.UpdateAssociationStatus,POST,,,,"AssociationStatus,InstanceId,Name",Updates the status of the Amazon Web Services S...,associations,update_association_status,update,,,,,
CreateAssociation,/#X-Amz-Target=AmazonSSM.CreateAssociation,POST,,,,Name,A State Manager association defines the state t...,associations,create_association,insert,,,,,
DeleteAssociation,/#X-Amz-Target=AmazonSSM.DeleteAssociation,POST,,,,,Disassociates the specified Amazon Web Services...,associations,delete_association,delete,,,,,
DescribeAssociation,/#X-Amz-Target=AmazonSSM.DescribeAssociation,POST,,,,,Describes the association for the specified tar...,associations,describe_association,select,,,,,
StartAssociationsOnce,/#X-Amz-Target=AmazonSSM.StartAssociationsOnce,POST,,,,AssociationIds,Runs an association immediately and only one ti...,associations,start_associations_once,exec,,,,,
UpdateAssociation,/#X-Amz-Target=AmazonSSM.UpdateAssociation,POST,,,,AssociationId,Updates an association. You can update the asso...,associations,update_association,update,,,,,
DescribeAutomationExecutions,/#X-Amz-Target=AmazonSSM.DescribeAutomationExecutions,POST,,,,,Provides details about all active and terminate...,automation_executions,describe_automation_executions,select,$.AutomationExecutionMetadataList,,,,
GetAutomationExecution,/#X-Amz-Target=AmazonSSM.GetAutomationExecution,POST,,,,AutomationExecutionId,Get detailed information about a particular Aut...,automation_executions,get_automation_execution,select,,,,,
SendAutomationSignal,/#X-Amz-Target=AmazonSSM.SendAutomationSignal,POST,,,,"AutomationExecutionId,SignalType",Sends a signal to an Automation execution to ch...,automation_executions,send_automation_signal,exec,,,,,
StartAutomationExecution,/#X-Amz-Target=AmazonSSM.StartAutomationExecution,POST,,,,DocumentName,Initiates execution of an Automation runbook.,automation_executions,start_automation_execution,exec,,,,,
StopAutomationExecution,/#X-Amz-Target=AmazonSSM.StopAutomationExecution,POST,,,,AutomationExecutionId,Stop an Automation that is currently running.,automation_executions,stop_automation_execution,exec,,,,,
DescribeAutomationStepExecutions,/#X-Amz-Target=AmazonSSM.DescribeAutomationStepExecutions,POST,,,,AutomationExecutionId,Information about all active and terminated ste...,automation_step_executions,describe_automation_step_executions,select,$.StepExecutions,,,,
DescribeAvailablePatches,/#X-Amz-Target=AmazonSSM.DescribeAvailablePatches,POST,,,,,Lists all patches eligible to be included in a ...,available_patches,describe_available_patches,select,$.Patches,,,,
GetCalendarState,/#X-Amz-Target=AmazonSSM.GetCalendarState,POST,,,,CalendarNames,Gets the state of a Amazon Web Services Systems...,calendar_states,get_calendar_state,select,,,,,
StartChangeRequestExecution,/#X-Amz-Target=AmazonSSM.StartChangeRequestExecution,POST,,,,"DocumentName,Runbooks",Amazon Web Services Systems Manager Change Mana...,documents,start_change_request_execution,exec,,,,,
ListCommandInvocations,/#X-Amz-Target=AmazonSSM.ListCommandInvocations,POST,,,,,An invocation is copy of a command sent to a sp...,command_invocations,list_command_invocations,select,$.CommandInvocations,,,,
GetCommandInvocation,/#X-Amz-Target=AmazonSSM.GetCommandInvocation,POST,,,,"CommandId,InstanceId",Returns detailed information about command exec...,command_invocations,get_command_invocation,select,,,,,
ListCommands,/#X-Amz-Target=AmazonSSM.ListCommands,POST,,,,,Lists the commands requested by users of the Am...,commands,list_commands,select,$.Commands,,,,
CancelCommand,/#X-Amz-Target=AmazonSSM.CancelCommand,POST,,,,CommandId,Attempts to cancel the command specified by the...,commands,cancel_command,exec,,,,,
SendCommand,/#X-Amz-Target=AmazonSSM.SendCommand,POST,,,,DocumentName,Runs commands on one or more managed nodes.,commands,send_command,exec,,,,,
ListComplianceItems,/#X-Amz-Target=AmazonSSM.ListComplianceItems,POST,,,,,"For a specified resource ID, this API operation...",compliance_items,list_compliance_items,select,$.ComplianceItems,,,,
PutComplianceItems,/#X-Amz-Target=AmazonSSM.PutComplianceItems,POST,,,,"ComplianceType,ExecutionSummary,Items,ResourceId,ResourceType",Registers a compliance type and other complianc...,compliance_items,put_compliance_items,replace,,,,,
ListComplianceSummaries,/#X-Amz-Target=AmazonSSM.ListComplianceSummaries,POST,,,,,Returns a summary count of compliant and non-co...,compliance_summaries,list_compliance_summaries,select,$.ComplianceSummaryItems,,,,
GetConnectionStatus,/#X-Amz-Target=AmazonSSM.GetConnectionStatus,POST,,,,Target,Retrieves the Session Manager connection status...,connection_statuses,get_connection_status,select,,,,,
