operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteResourcePermission,/delete-resource-permission,POST,,,,ResourceArn,Removes permissions associated with the target ...,resource_permissions,delete_resource_permission,delete,,,,,
DeregisterApplication,/deregister-application,POST,,,,,Deregister an SAP application with AWS Systems ...,applications,deregister_application,exec,,,,,
GetApplication,/get-application,POST,,,,,Gets an application registered with AWS Systems...,application,get_application,select,,,,,
GetComponent,/get-component,POST,,,,,Gets the component of an application registered...,component,get_component,select,,,,,
GetConfigurationCheckOperation,/get-configuration-check-operation,POST,,,,OperationId,Gets the details of a configuration check opera...,configuration_check_operations,get_configuration_check_operation,select,,,,,
GetDatabase,/get-database,POST,,,,,Gets the SAP HANA database of an application re...,database,get_database,select,,,,,
GetOperation,/get-operation,POST,,,,OperationId,Gets the details of an operation by specifying ...,operations,get_operation,select,,,,,
GetResourcePermission,/get-resource-permission,POST,,,,ResourceArn,Gets permissions associated with the target dat...,resource_permissions,get_resource_permission,select,,,,,
ListApplications,/list-applications,POST,,,,,Lists all the applications registered with AWS ...,applications,list_applications,select,$.Applications,,,,
ListComponents,/list-components,POST,,,,,Lists all the components registered with AWS Sy...,components,list_components,select,$.Components,,,,
ListConfigurationCheckDefinitions,/list-configuration-check-definitions,POST,,,,,Lists all configuration check types supported b...,configuration_check_definitions,list_configuration_check_definitions,select,$.ConfigurationChecks,,,,
ListConfigurationCheckOperations,/list-configuration-check-operations,POST,,,,ApplicationId,Lists the configuration check operations perfor...,configuration_check_operations,list_configuration_check_operations,select,$.ConfigurationCheckOperations,,,,
ListDatabases,/list-databases,POST,,,,,Lists the SAP HANA databases of an application ...,databases,list_databases,select,$.Databases,,,,
ListOperationEvents,/list-operation-events,POST,,,,OperationId,Returns a list of operations events. Available ...,operation_events,list_operation_events,select,$.OperationEvents,,,,
ListOperations,/list-operations,POST,,,,ApplicationId,Lists the operations performed by AWS Systems M...,operations,list_operations,select,$.Operations,,,,
ListSubCheckResults,/list-sub-check-results,POST,,,,OperationId,Lists the sub-check results of a specified conf...,sub_check_results,list_sub_check_results,select,$.SubCheckResults,,,,
ListSubCheckRuleResults,/list-sub-check-rule-results,POST,,,,SubCheckResultId,Lists the rules of a specified sub-check belong...,sub_check_rule_results,list_sub_check_rule_results,select,$.RuleResults,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Lists all tags on an SAP HANA application and/o...,tags,list_tags_for_resource,select,,,,,
PutResourcePermission,/put-resource-permission,POST,,,,ResourceArn,Adds permissions to the target database.,resource_permissions,put_resource_permission,replace,,,,,
RegisterApplication,/register-application,POST,,,,"ApplicationId,ApplicationType,Instances",Register an SAP application with AWS Systems Ma...,applications,register_application,exec,,,,,
StartApplication,/start-application,POST,,,,,Request is an operation which starts an applica...,applications,start_application,exec,,,,,
StartApplicationRefresh,/start-application-refresh,POST,,,,,Refreshes a registered application.,applications,start_application_refresh,exec,,,,,
StartConfigurationChecks,/start-configuration-checks,POST,,,,ApplicationId,Initiates configuration check operations agains...,configuration_check_operations,start_configuration_checks,exec,,,,,
StopApplication,/stop-application,POST,,,,ApplicationId,Request is an operation to stop an application....,applications,stop_application,exec,,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,,Creates tag for a resource by specifying the ARN.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Delete the tags for a resource.,tags,untag_resource,exec,,,,,
UpdateApplicationSettings,/update-application-settings,POST,,,,ApplicationId,Updates the settings of an application register...,applications,update_application_settings,update,,,,,
