operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListAccountAssignmentsForPrincipal,/#X-Amz-Target=SWBExternalService.ListAccountAssignmentsForPrincipal,POST,,,,"InstanceArn,PrincipalId,PrincipalType",Retrieves a list of the IAM Identity Center ass...,account_assignments,list_account_assignments_for_principal,select,$.AccountAssignments,,,,
DescribeAccountAssignmentCreationStatus,/#X-Amz-Target=SWBExternalService.DescribeAccountAssignmentCreationStatus,POST,,,,"AccountAssignmentCreationRequestId,InstanceArn",Describes the status of the assignment creation...,account_assignment_creation_statu_status,describe_account_assignment_creation_status,select,,,,,
ListAccountAssignmentCreationStatus,/#X-Amz-Target=SWBExternalService.ListAccountAssignmentCreationStatus,POST,,,,InstanceArn,Lists the status of the Amazon Web Services acc...,account_assignment_creation_status,list_account_assignment_creation_status,select,$.AccountAssignmentsCreationStatus,,,,
DescribeAccountAssignmentDeletionStatus,/#X-Amz-Target=SWBExternalService.DescribeAccountAssignmentDeletionStatus,POST,,,,"AccountAssignmentDeletionRequestId,InstanceArn",Describes the status of the assignment deletion...,account_assignment_deletion_statu_status,describe_account_assignment_deletion_status,select,,,,,
ListAccountAssignmentDeletionStatus,/#X-Amz-Target=SWBExternalService.ListAccountAssignmentDeletionStatus,POST,,,,InstanceArn,Lists the status of the Amazon Web Services acc...,account_assignment_deletion_status,list_account_assignment_deletion_status,select,$.AccountAssignmentsDeletionStatus,,,,
CreateAccountAssignment,/#X-Amz-Target=SWBExternalService.CreateAccountAssignment,POST,,,,"InstanceArn,PermissionSetArn,PrincipalId,PrincipalType,TargetId,TargetType",Assigns access to a principal for a specified A...,account_assignments,create_account_assignment,insert,,,,,
DeleteAccountAssignment,/#X-Amz-Target=SWBExternalService.DeleteAccountAssignment,POST,,,,"InstanceArn,PermissionSetArn,PrincipalId,PrincipalType,TargetId,TargetType",Deletes a principal's access from a specified A...,account_assignments,delete_account_assignment,delete,,,,,
ListAccountAssignments,/#X-Amz-Target=SWBExternalService.ListAccountAssignments,POST,,,,"AccountId,InstanceArn,PermissionSetArn",Lists the assignee of the specified Amazon Web ...,account_assignments,list_account_assignments,select,$.AccountAssignments,,,,
DescribeApplication,/#X-Amz-Target=SWBExternalService.DescribeApplication,POST,,,,ApplicationArn,Retrieves the details of an application associa...,applications,describe_application,select,,,,,
GetApplicationAccessScope,/#X-Amz-Target=SWBExternalService.GetApplicationAccessScope,POST,,,,"ApplicationArn,Scope",Retrieves the authorized targets for an IAM Ide...,application_access_scopes,get_application_access_scope,select,,,,,
