operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteAutomaticTapeCreationPolicy,/#X-Amz-Target=StorageGateway_20130630.DeleteAutomaticTapeCreationPolicy,POST,,,,GatewayARN,Deletes the automatic tape creation policy of a...,automatic_tape_creation_policies,delete_automatic_tape_creation_policy,delete,,,,,
UpdateAutomaticTapeCreationPolicy,/#X-Amz-Target=StorageGateway_20130630.UpdateAutomaticTapeCreationPolicy,POST,,,,"AutomaticTapeCreationRules,GatewayARN",Updates the automatic tape creation policy of a...,automatic_tape_creation_policies,update_automatic_tape_creation_policy,update,,,,,
DescribeAvailabilityMonitorTest,/#X-Amz-Target=StorageGateway_20130630.DescribeAvailabilityMonitorTest,POST,,,,GatewayARN,Returns information about the most recent high ...,availability_monitor_tests,describe_availability_monitor_test,select,,,,,
StartAvailabilityMonitorTest,/#X-Amz-Target=StorageGateway_20130630.StartAvailabilityMonitorTest,POST,,,,GatewayARN,Start a test that verifies that the specified g...,availability_monitor_tests,start_availability_monitor_test,exec,,,,,
DescribeBandwidthRateLimitSchedule,/#X-Amz-Target=StorageGateway_20130630.DescribeBandwidthRateLimitSchedule,POST,,,,GatewayARN,Returns information about the bandwidth rate li...,bandwidth_rate_limit_schedules,describe_bandwidth_rate_limit_schedule,select,,,,,
UpdateBandwidthRateLimitSchedule,/#X-Amz-Target=StorageGateway_20130630.UpdateBandwidthRateLimitSchedule,POST,,,,"BandwidthRateLimitIntervals,GatewayARN",Updates the bandwidth rate limit schedule for a...,bandwidth_rate_limit_schedules,update_bandwidth_rate_limit_schedule,update,,,,,
DeleteBandwidthRateLimit,/#X-Amz-Target=StorageGateway_20130630.DeleteBandwidthRateLimit,POST,,,,"BandwidthType,GatewayARN",Deletes the bandwidth rate limits of a gateway....,bandwidth_rate_limits,delete_bandwidth_rate_limit,delete,,,,,
DescribeBandwidthRateLimit,/#X-Amz-Target=StorageGateway_20130630.DescribeBandwidthRateLimit,POST,,,,GatewayARN,Returns the bandwidth rate limits of a gateway....,bandwidth_rate_limits,describe_bandwidth_rate_limit,select,,,,,
UpdateBandwidthRateLimit,/#X-Amz-Target=StorageGateway_20130630.UpdateBandwidthRateLimit,POST,,,,GatewayARN,Updates the bandwidth rate limits of a gateway....,bandwidth_rate_limits,update_bandwidth_rate_limit,update,,,,,
AddCache,/#X-Amz-Target=StorageGateway_20130630.AddCache,POST,,,,"DiskIds,GatewayARN",Configures one or more gateway local disks as c...,cache,add_cache,exec,,,,,
DescribeCache,/#X-Amz-Target=StorageGateway_20130630.DescribeCache,POST,,,,GatewayARN,Returns information about the cache of a gatewa...,cache,describe_cache,select,,,,,
RefreshCache,/#X-Amz-Target=StorageGateway_20130630.RefreshCache,POST,,,,FileShareARN,Refreshes the cached inventory of objects for t...,cache,refresh_cache,exec,,,,,
ResetCache,/#X-Amz-Target=StorageGateway_20130630.ResetCache,POST,,,,GatewayARN,Resets all cache disks that have encountered an...,cache,reset_cache,exec,,,,,
CancelCacheReport,/#X-Amz-Target=StorageGateway_20130630.CancelCacheReport,POST,,,,CacheReportARN,Cancels generation of a specified cache report....,cache_reports,cancel_cache_report,exec,,,,,
DeleteCacheReport,/#X-Amz-Target=StorageGateway_20130630.DeleteCacheReport,POST,,,,CacheReportARN,Deletes the specified cache report and any asso...,cache_reports,delete_cache_report,delete,,,,,
DescribeCacheReport,/#X-Amz-Target=StorageGateway_20130630.DescribeCacheReport,POST,,,,CacheReportARN,Returns information about the specified cache r...,cache_reports,describe_cache_report,select,,,,,
ListCacheReports,/#X-Amz-Target=StorageGateway_20130630.ListCacheReports,POST,,,,,Returns a list of existing cache reports for al...,cache_reports,list_cache_reports,select,$.CacheReportList,,,,
StartCacheReport,/#X-Amz-Target=StorageGateway_20130630.StartCacheReport,POST,,,,"BucketRegion,ClientToken,FileShareARN,LocationARN,Role",Starts generating a report of the file metadata...,cache_reports,start_cache_report,exec,,,,,
CreateCachediSCSIVolume,/#X-Amz-Target=StorageGateway_20130630.CreateCachediSCSIVolume,POST,,,,"ClientToken,GatewayARN,NetworkInterfaceId,TargetName,VolumeSizeInBytes",Creates a cached volume on a specified cached v...,cached_iscsi_volumes,create_cachedi_scsi_volume,insert,,,,,
DescribeCachediSCSIVolumes,/#X-Amz-Target=StorageGateway_20130630.DescribeCachediSCSIVolumes,POST,,,,VolumeARNs,Returns a description of the gateway volumes sp...,cached_iscsi_volumes,describe_cachedi_scsi_volumes,select,,,,,
DeleteChapCredentials,/#X-Amz-Target=StorageGateway_20130630.DeleteChapCredentials,POST,,,,"InitiatorName,TargetARN",Deletes Challenge-Handshake Authentication Prot...,chap_credentials,delete_chap_credentials,delete,,,,,
DescribeChapCredentials,/#X-Amz-Target=StorageGateway_20130630.DescribeChapCredentials,POST,,,,TargetARN,Returns an array of Challenge-Handshake Authent...,chap_credentials,describe_chap_credentials,select,,,,,
UpdateChapCredentials,/#X-Amz-Target=StorageGateway_20130630.UpdateChapCredentials,POST,,,,"InitiatorName,SecretToAuthenticateInitiator,TargetARN",Updates the Challenge-Handshake Authentication ...,chap_credentials,update_chap_credentials,update,,,,,
JoinDomain,/#X-Amz-Target=StorageGateway_20130630.JoinDomain,POST,,,,"DomainName,GatewayARN,Password,UserName",Adds a file gateway to an Active Directory doma...,domains,join_domain,exec,,,,,
CreateNFSFileShare,/#X-Amz-Target=StorageGateway_20130630.CreateNFSFileShare,POST,,,,"ClientToken,GatewayARN,LocationARN,Role",Creates a Network File System (NFS) file share ...,file_shares,create_nfs_file_share,insert,,,,,
