operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CountClosedWorkflowExecutions,/#X-Amz-Target=SimpleWorkflowService.CountClosedWorkflowExecutions,POST,,,,domain,Returns the number of closed workflow execution...,workflow_executions,count_closed_workflow_executions,exec,,,,,
CountOpenWorkflowExecutions,/#X-Amz-Target=SimpleWorkflowService.CountOpenWorkflowExecutions,POST,,,,"domain,startTimeFilter",Returns the number of open workflow executions ...,workflow_executions,count_open_workflow_executions,exec,,,,,
CountPendingActivityTasks,/#X-Amz-Target=SimpleWorkflowService.CountPendingActivityTasks,POST,,,,"domain,taskList",Returns the estimated number of activity tasks ...,activity_tasks,count_pending_activity_tasks,exec,,,,,
CountPendingDecisionTasks,/#X-Amz-Target=SimpleWorkflowService.CountPendingDecisionTasks,POST,,,,"domain,taskList",Returns the estimated number of decision tasks ...,decision_tasks,count_pending_decision_tasks,exec,,,,,
DeleteActivityType,/#X-Amz-Target=SimpleWorkflowService.DeleteActivityType,POST,,,,"activityType,domain",Deletes the specified _activity type_. Note: Pr...,activity_types,delete_activity_type,delete,,,,,
DeleteWorkflowType,/#X-Amz-Target=SimpleWorkflowService.DeleteWorkflowType,POST,,,,"domain,workflowType",Deletes the specified _workflow type_. Note: Pr...,workflow_types,delete_workflow_type,delete,,,,,
DeprecateActivityType,/#X-Amz-Target=SimpleWorkflowService.DeprecateActivityType,POST,,,,"activityType,domain",Deprecates the specified _activity type_. After...,activity_types,deprecate_activity_type,exec,,,,,
DeprecateDomain,/#X-Amz-Target=SimpleWorkflowService.DeprecateDomain,POST,,,,name,Deprecates the specified domain. After a domain...,domains,deprecate_domain,exec,,,,,
DeprecateWorkflowType,/#X-Amz-Target=SimpleWorkflowService.DeprecateWorkflowType,POST,,,,"domain,workflowType",Deprecates the specified _workflow type_. After...,workflow_types,deprecate_workflow_type,exec,,,,,
DescribeActivityType,/#X-Amz-Target=SimpleWorkflowService.DescribeActivityType,POST,,,,"activityType,domain",Returns information about the specified activit...,activity_types,describe_activity_type,select,,,,,
DescribeDomain,/#X-Amz-Target=SimpleWorkflowService.DescribeDomain,POST,,,,name,"Returns information about the specified domain,...",domains,describe_domain,select,,,,,
