operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteSupplementalTaxRegistration,/DeleteSupplementalTaxRegistration,POST,,,,authorityId,Deletes a supplemental tax registration for a s...,supplemental_tax_registrations,delete_supplemental_tax_registration,delete,,,,,
ListSupplementalTaxRegistrations,/ListSupplementalTaxRegistrations,POST,,,,,Retrieves supplemental tax registrations for a ...,supplemental_tax_registrations,list_supplemental_tax_registrations,select,$.taxRegistrations,,,,
PutSupplementalTaxRegistration,/PutSupplementalTaxRegistration,POST,,,,"accountIds,taxRegistrationEntry",Stores supplemental tax registration for a sing...,supplemental_tax_registrations,put_supplemental_tax_registration,replace,,,,,
GetTaxExemptionTypes,/GetTaxExemptionTypes,POST,,,,,Get supported tax exemption types. The IAM acti...,tax_exemption_types,get_tax_exemption_types,select,,,,,
BatchGetTaxExemptions,/BatchGetTaxExemptions,POST,,,,accountIds,Get the active tax exemptions for a given list ...,tax_exemptions,batch_get_tax_exemptions,exec,,,,,
ListTaxExemptions,/ListTaxExemptions,POST,,,,,Retrieves the tax exemption of accounts listed ...,tax_exemptions,list_tax_exemptions,exec,$.taxExemptionDetailsMap,,,,
PutTaxExemption,/PutTaxExemption,POST,,,,"accountIds,authority,exemptionCertificate,exemptionType",Adds the tax exemption for a single account or ...,tax_exemptions,put_tax_exemption,replace,,,,,
GetTaxInheritance,/GetTaxInheritance,POST,,,,,The get account tax inheritance status.,tax_inheritance,get_tax_inheritance,select,,,,,
PutTaxInheritance,/PutTaxInheritance,POST,,,,,The updated tax inheritance status.,tax_inheritance,put_tax_inheritance,replace,,,,,
GetTaxRegistrationDocument,/GetTaxRegistrationDocument,POST,,,,taxDocumentMetadata,Downloads your tax documents to the Amazon S3 b...,tax_registration_documents,get_tax_registration_document,select,,,,,
BatchDeleteTaxRegistration,/BatchDeleteTaxRegistration,POST,,,,accountIds,Deletes tax registration for multiple accounts ...,tax_registrations,batch_delete_tax_registration,exec,,,,,
BatchPutTaxRegistration,/BatchPutTaxRegistration,POST,,,,"accountIds,taxRegistrationEntry",Adds or updates tax registration for multiple a...,tax_registrations,batch_put_tax_registration,exec,,,,,
DeleteTaxRegistration,/DeleteTaxRegistration,POST,,,,,Deletes tax registration for a single account. ...,tax_registrations,delete_tax_registration,delete,,,,,
GetTaxRegistration,/GetTaxRegistration,POST,,,,,Retrieves tax registration for a single account.,tax_registrations,get_tax_registration,select,,,,,
ListTaxRegistrations,/ListTaxRegistrations,POST,,,,,Retrieves the tax registration of accounts list...,tax_registration_summaries,list_tax_registrations,select,$.accountDetails,,,,
PutTaxRegistration,/PutTaxRegistration,POST,,,,taxRegistrationEntry,Adds or updates tax registration for a single a...,tax_registrations,put_tax_registration,replace,,,,,
