operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CancelSolNetworkOperation,/sol/nslcm/v1/ns_lcm_op_occs/{nsLcmOpOccId}/cancel,POST,Cancels a network operation. A network operatio...,,cancel_sol_network_operation,exec,,,,,
CreateSolFunctionPackage,/sol/vnfpkgm/v1/vnf_packages,POST,Creates a function package. A function package ...,,create_sol_function_package,insert,,,,,
CreateSolNetworkInstance,/sol/nslcm/v1/ns_instances,POST,Creates a network instance. A network instance ...,,create_sol_network_instance,insert,,,,,
CreateSolNetworkPackage,/sol/nsd/v1/ns_descriptors,POST,Creates a network package. A network package is...,,create_sol_network_package,insert,,,,,
DeleteSolFunctionPackage,/sol/vnfpkgm/v1/vnf_packages/{vnfPkgId},DELETE,Deletes a function package. A function package ...,,delete_sol_function_package,delete,,,,,
DeleteSolNetworkInstance,/sol/nslcm/v1/ns_instances/{nsInstanceId},DELETE,Deletes a network instance. A network instance ...,,delete_sol_network_instance,delete,,,,,
DeleteSolNetworkPackage,/sol/nsd/v1/ns_descriptors/{nsdInfoId},DELETE,Deletes network package. A network package is a...,,delete_sol_network_package,delete,,,,,
GetSolFunctionInstance,/sol/vnflcm/v1/vnf_instances/{vnfInstanceId},GET,Gets the details of a network function instance...,,get_sol_function_instance,select,,,,,
GetSolFunctionPackage,/sol/vnfpkgm/v1/vnf_packages/{vnfPkgId},GET,Gets the details of an individual function pack...,,get_sol_function_package,select,,,,,
GetSolFunctionPackageContent,/sol/vnfpkgm/v1/vnf_packages/{vnfPkgId}/package_content,GET,Gets the contents of a function package. A func...,,get_sol_function_package_content,select,,,,,
GetSolFunctionPackageDescriptor,/sol/vnfpkgm/v1/vnf_packages/{vnfPkgId}/vnfd,GET,Gets a function package descriptor in a functio...,,get_sol_function_package_descriptor,select,,,,,
GetSolNetworkInstance,/sol/nslcm/v1/ns_instances/{nsInstanceId},GET,Gets the details of the network instance. A net...,,get_sol_network_instance,select,,,,,
GetSolNetworkOperation,/sol/nslcm/v1/ns_lcm_op_occs/{nsLcmOpOccId},GET,"Gets the details of a network operation, includ...",,get_sol_network_operation,select,,,,,
GetSolNetworkPackage,/sol/nsd/v1/ns_descriptors/{nsdInfoId},GET,Gets the details of a network package. A networ...,,get_sol_network_package,select,,,,,
GetSolNetworkPackageContent,/sol/nsd/v1/ns_descriptors/{nsdInfoId}/nsd_content,GET,Gets the contents of a network package. A netwo...,,get_sol_network_package_content,select,,,,,
GetSolNetworkPackageDescriptor,/sol/nsd/v1/ns_descriptors/{nsdInfoId}/nsd,GET,Gets the content of the network service descrip...,,get_sol_network_package_descriptor,select,,,,,
InstantiateSolNetworkInstance,/sol/nslcm/v1/ns_instances/{nsInstanceId}/instantiate,POST,Instantiates a network instance. A network inst...,,instantiate_sol_network_instance,exec,,,,,
ListSolFunctionInstances,/sol/vnflcm/v1/vnf_instances,GET,Lists network function instances. A network fun...,,list_sol_function_instances,select,$.functionInstances,,,,
ListSolFunctionPackages,/sol/vnfpkgm/v1/vnf_packages,GET,Lists information about function packages. A fu...,,list_sol_function_packages,select,$.functionPackages,,,,
ListSolNetworkInstances,/sol/nslcm/v1/ns_instances,GET,Lists your network instances. A network instanc...,,list_sol_network_instances,select,$.networkInstances,,,,
ListSolNetworkOperations,/sol/nslcm/v1/ns_lcm_op_occs,GET,"Lists details for a network operation, includin...",,list_sol_network_operations,select,$.networkOperations,,,,
ListSolNetworkPackages,/sol/nsd/v1/ns_descriptors,GET,Lists network packages. A network package is a ...,,list_sol_network_packages,select,$.networkPackages,,,,
ListTagsForResource,/tags/{resourceArn},GET,Lists tags for AWS TNB resources.,,list_tags_for_resource,select,,,,,
PutSolFunctionPackageContent,/sol/vnfpkgm/v1/vnf_packages/{vnfPkgId}/package_content,PUT,Uploads the contents of a function package. A f...,,put_sol_function_package_content,replace,,,,,
PutSolNetworkPackageContent,/sol/nsd/v1/ns_descriptors/{nsdInfoId}/nsd_content,PUT,Uploads the contents of a network package. A ne...,,put_sol_network_package_content,replace,,,,,
TagResource,/tags/{resourceArn},POST,Tags an AWS TNB resource. A tag is a label that...,,tag_resource,exec,,,,,
TerminateSolNetworkInstance,/sol/nslcm/v1/ns_instances/{nsInstanceId}/terminate,POST,Terminates a network instance. A network instan...,,terminate_sol_network_instance,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Untags an AWS TNB resource. A tag is a label th...,,untag_resource,delete,,,,,
UpdateSolFunctionPackage,/sol/vnfpkgm/v1/vnf_packages/{vnfPkgId},PATCH,Updates the operational state of function packa...,,update_sol_function_package,update,,,,,
UpdateSolNetworkInstance,/sol/nslcm/v1/ns_instances/{nsInstanceId}/update,POST,Update a network instance. A network instance i...,,update_sol_network_instance,update,,,,,
UpdateSolNetworkPackage,/sol/nsd/v1/ns_descriptors/{nsdInfoId},PATCH,Updates the operational state of a network pack...,,update_sol_network_package,update,,,,,
ValidateSolFunctionPackageContent,/sol/vnfpkgm/v1/vnf_packages/{vnfPkgId}/package_content/validate,PUT,Validates function package content. This can be...,,validate_sol_function_package_content,exec,,,,,
ValidateSolNetworkPackageContent,/sol/nsd/v1/ns_descriptors/{nsdInfoId}/nsd_content/validate,PUT,Validates network package content. This can be ...,,validate_sol_network_package_content,exec,,,,,
