operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeAccess,/#X-Amz-Target=TransferService.DescribeAccess,POST,,,,"ExternalId,ServerId",Describes the access that is assigned to the sp...,accesses,describe_access,select,,,,,
CreateAccess,/#X-Amz-Target=TransferService.CreateAccess,POST,,,,"ExternalId,Role,ServerId",Used by administrators to choose which groups i...,accesses,create_access,insert,,,,,
DeleteAccess,/#X-Amz-Target=TransferService.DeleteAccess,POST,,,,"ExternalId,ServerId",Allows you to delete the access specified in th...,accesses,delete_access,delete,,,,,
ListAccesses,/#X-Amz-Target=TransferService.ListAccesses,POST,,,,ServerId,Lists the details for all the accesses you have...,accesses,list_accesses,select,$.Accesses,,,,
UpdateAccess,/#X-Amz-Target=TransferService.UpdateAccess,POST,,,,"ExternalId,ServerId",Allows you to update parameters for the access ...,accesses,update_access,update,,,,,
DescribeAgreement,/#X-Amz-Target=TransferService.DescribeAgreement,POST,,,,"AgreementId,ServerId",Describes the agreement that's identified by th...,agreements,describe_agreement,select,,,,,
CreateAgreement,/#X-Amz-Target=TransferService.CreateAgreement,POST,,,,"AccessRole,LocalProfileId,PartnerProfileId,ServerId",Creates an agreement. An agreement is a bilater...,agreements,create_agreement,insert,,,,,
DeleteAgreement,/#X-Amz-Target=TransferService.DeleteAgreement,POST,,,,"AgreementId,ServerId",Delete the agreement that's specified in the pr...,agreements,delete_agreement,delete,,,,,
ListAgreements,/#X-Amz-Target=TransferService.ListAgreements,POST,,,,ServerId,Returns a list of the agreements for the server...,agreements,list_agreements,select,$.Agreements,,,,
UpdateAgreement,/#X-Amz-Target=TransferService.UpdateAgreement,POST,,,,"AgreementId,ServerId",Updates some of the parameters for an existing ...,agreements,update_agreement,update,,,,,
DescribeCertificate,/#X-Amz-Target=TransferService.DescribeCertificate,POST,,,,CertificateId,Describes the certificate that's identified by ...,certificates,describe_certificate,select,,,,,
DeleteCertificate,/#X-Amz-Target=TransferService.DeleteCertificate,POST,,,,CertificateId,Deletes the certificate that's specified in the...,certificates,delete_certificate,delete,,,,,
ImportCertificate,/#X-Amz-Target=TransferService.ImportCertificate,POST,,,,"Certificate,Usage",Imports the signing and encryption certificates...,certificates,import_certificate,exec,,,,,
ListCertificates,/#X-Amz-Target=TransferService.ListCertificates,POST,,,,ServerId,Returns a list of the current certificates that...,certificates,list_certificates,select,$.Certificates,,,,
UpdateCertificate,/#X-Amz-Target=TransferService.UpdateCertificate,POST,,,,CertificateId,Updates the active and inactive dates for a cer...,certificates,update_certificate,update,,,,,
DescribeConnector,/#X-Amz-Target=TransferService.DescribeConnector,POST,,,,ConnectorId,Describes the connector that's identified by th...,connectors,describe_connector,select,,,,,
CreateConnector,/#X-Amz-Target=TransferService.CreateConnector,POST,,,,AccessRole,"Creates the connector, which captures the param...",connectors,create_connector,insert,,,,,
DeleteConnector,/#X-Amz-Target=TransferService.DeleteConnector,POST,,,,ConnectorId,Deletes the connector that's specified in the p...,connectors,delete_connector,delete,,,,,
ListConnectors,/#X-Amz-Target=TransferService.ListConnectors,POST,,,,ServerId,Lists the connectors for the specified Region.,connectors,list_connectors,select,$.Connectors,,,,
TestConnection,/#X-Amz-Target=TransferService.TestConnection,POST,,,,ConnectorId,Tests whether your SFTP connector is set up suc...,connectors,test_connection,exec,,,,,
UpdateConnector,/#X-Amz-Target=TransferService.UpdateConnector,POST,,,,ConnectorId,Updates some of the parameters for an existing ...,connectors,update_connector,update,,,,,
StartDirectoryListing,/#X-Amz-Target=TransferService.StartDirectoryListing,POST,,,,"ConnectorId,OutputDirectoryPath,RemoteDirectoryPath",Retrieves a list of the contents of a directory...,connectors,start_directory_listing,exec,,,,,
StartRemoteDelete,/#X-Amz-Target=TransferService.StartRemoteDelete,POST,,,,"ConnectorId,DeletePath",Deletes a file or directory on the remote SFTP ...,connectors,start_remote_delete,exec,,,,,
StartRemoteMove,/#X-Amz-Target=TransferService.StartRemoteMove,POST,,,,"ConnectorId,SourcePath,TargetPath",Moves or renames a file or directory on the rem...,connectors,start_remote_move,exec,,,,,
DescribeExecution,/#X-Amz-Target=TransferService.DescribeExecution,POST,,,,"ExecutionId,WorkflowId",You can use `DescribeExecution` to check the de...,executions,describe_execution,select,,,,,
ListExecutions,/#X-Amz-Target=TransferService.ListExecutions,POST,,,,WorkflowId,Lists all in-progress executions for the specif...,executions,list_executions,select,$.Executions,,,,
ListFileTransferResults,/#X-Amz-Target=TransferService.ListFileTransferResults,POST,,,,"ConnectorId,TransferId",Returns real-time updates and detailed informat...,file_transfers,list_file_transfer_results,select,$.FileTransferResults,,,,
StartFileTransfer,/#X-Amz-Target=TransferService.StartFileTransfer,POST,,,,ConnectorId,Begins a file transfer between local Amazon Web...,file_transfers,start_file_transfer,exec,,,,,
DescribeHostKey,/#X-Amz-Target=TransferService.DescribeHostKey,POST,,,,"HostKeyId,ServerId",Returns the details of the host key that's spec...,host_keys,describe_host_key,select,,,,,
DeleteHostKey,/#X-Amz-Target=TransferService.DeleteHostKey,POST,,,,"HostKeyId,ServerId",Deletes the host key that's specified in the `H...,host_keys,delete_host_key,delete,,,,,
ImportHostKey,/#X-Amz-Target=TransferService.ImportHostKey,POST,,,,"HostKeyBody,ServerId",Adds a host key to the server that's specified ...,host_keys,import_host_key,exec,,,,,
ListHostKeys,/#X-Amz-Target=TransferService.ListHostKeys,POST,,,,ServerId,Returns a list of host keys for the server that...,host_keys,list_host_keys,select,,,,,
UpdateHostKey,/#X-Amz-Target=TransferService.UpdateHostKey,POST,,,,"Description,HostKeyId,ServerId",Updates the description for the host key that's...,host_keys,update_host_key,update,,,,,
DescribeProfile,/#X-Amz-Target=TransferService.DescribeProfile,POST,,,,ProfileId,Returns the details of the profile that's speci...,profiles,describe_profile,select,,,,,
CreateProfile,/#X-Amz-Target=TransferService.CreateProfile,POST,,,,"As2Id,ProfileType",Creates the local or partner profile to use for...,profiles,create_profile,insert,,,,,
DeleteProfile,/#X-Amz-Target=TransferService.DeleteProfile,POST,,,,ProfileId,Deletes the profile that's specified in the `Pr...,profiles,delete_profile,delete,,,,,
ListProfiles,/#X-Amz-Target=TransferService.ListProfiles,POST,,,,,Returns a list of the profiles for your system....,profiles,list_profiles,select,$.Profiles,,,,
UpdateProfile,/#X-Amz-Target=TransferService.UpdateProfile,POST,,,,ProfileId,Updates some of the parameters for an existing ...,profiles,update_profile,update,,,,,
ListSecurityPolicies,/#X-Amz-Target=TransferService.ListSecurityPolicies,POST,,,,ServerId,Lists the security policies that are attached t...,security_policies,list_security_policies,select,$.SecurityPolicyNames,,,,
DescribeSecurityPolicy,/#X-Amz-Target=TransferService.DescribeSecurityPolicy,POST,,,,SecurityPolicyName,Describes the security policy that is attached ...,security_policies,describe_security_policy,select,,,,,
TestIdentityProvider,/#X-Amz-Target=TransferService.TestIdentityProvider,POST,,,,"ServerId,UserName",If the `IdentityProviderType` of a file transfe...,servers,test_identity_provider,exec,,,,,
DescribeServer,/#X-Amz-Target=TransferService.DescribeServer,POST,,,,ServerId,Describes a file transfer protocol-enabled serv...,servers,describe_server,select,,,,,
CreateServer,/#X-Amz-Target=TransferService.CreateServer,POST,,,,,Instantiates an auto-scaling virtual server bas...,servers,create_server,insert,,,,,
