operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeDomain,/#X-Amz-Target=VoiceID.DescribeDomain,POST,,,,DomainId,Describes the specified domain.,domains,describe_domain,select,,,,,
CreateDomain,/#X-Amz-Target=VoiceID.CreateDomain,POST,,,,"Name,ServerSideEncryptionConfiguration",Creates a domain that contains all Amazon Conne...,domains,create_domain,insert,,,,,
DeleteDomain,/#X-Amz-Target=VoiceID.DeleteDomain,POST,,,,DomainId,Deletes the specified domain from Voice ID.,domains,delete_domain,delete,,,,,
ListDomains,/#X-Amz-Target=VoiceID.ListDomains,POST,,,,,Lists all the domains in the Amazon Web Service...,domains,list_domains,select,$.DomainSummaries,,,,
UpdateDomain,/#X-Amz-Target=VoiceID.UpdateDomain,POST,,,,"DomainId,Name,ServerSideEncryptionConfiguration",Updates the specified domain. This API has clob...,domains,update_domain,update,,,,,
EvaluateSession,/#X-Amz-Target=VoiceID.EvaluateSession,POST,,,,"DomainId,SessionNameOrId",Evaluates a specified session based on audio da...,domains,evaluate_session,exec,,,,,
DescribeFraudsterRegistrationJob,/#X-Amz-Target=VoiceID.DescribeFraudsterRegistrationJob,POST,,,,"DomainId,JobId",Describes the specified fraudster registration ...,fraudster_registration_jobs,describe_fraudster_registration_job,select,,,,,
ListFraudsterRegistrationJobs,/#X-Amz-Target=VoiceID.ListFraudsterRegistrationJobs,POST,,,,DomainId,Lists all the fraudster registration jobs in th...,fraudster_registration_jobs,list_fraudster_registration_jobs,select,$.JobSummaries,,,,
StartFraudsterRegistrationJob,/#X-Amz-Target=VoiceID.StartFraudsterRegistrationJob,POST,,,,"DataAccessRoleArn,DomainId,InputDataConfig,OutputDataConfig",Starts a new batch fraudster registration job u...,fraudster_registration_jobs,start_fraudster_registration_job,exec,,,,,
DescribeFraudster,/#X-Amz-Target=VoiceID.DescribeFraudster,POST,,,,"DomainId,FraudsterId",Describes the specified fraudster.,fraudsters,describe_fraudster,select,,,,,
AssociateFraudster,/#X-Amz-Target=VoiceID.AssociateFraudster,POST,,,,"DomainId,FraudsterId,WatchlistId",Associates the fraudsters with the watchlist sp...,fraudsters,associate_fraudster,exec,,,,,
DeleteFraudster,/#X-Amz-Target=VoiceID.DeleteFraudster,POST,,,,"DomainId,FraudsterId",Deletes the specified fraudster from Voice ID. ...,fraudsters,delete_fraudster,delete,,,,,
DisassociateFraudster,/#X-Amz-Target=VoiceID.DisassociateFraudster,POST,,,,"DomainId,FraudsterId,WatchlistId",Disassociates the fraudsters from the watchlist...,fraudsters,disassociate_fraudster,exec,,,,,
ListFraudsters,/#X-Amz-Target=VoiceID.ListFraudsters,POST,,,,DomainId,Lists all fraudsters in a specified watchlist o...,fraudsters,list_fraudsters,select,$.FraudsterSummaries,,,,
DescribeSpeakerEnrollmentJob,/#X-Amz-Target=VoiceID.DescribeSpeakerEnrollmentJob,POST,,,,"DomainId,JobId",Describes the specified speaker enrollment job.,speaker_enrollment_jobs,describe_speaker_enrollment_job,select,,,,,
ListSpeakerEnrollmentJobs,/#X-Amz-Target=VoiceID.ListSpeakerEnrollmentJobs,POST,,,,DomainId,Lists all the speaker enrollment jobs in the do...,speaker_enrollment_jobs,list_speaker_enrollment_jobs,select,$.JobSummaries,,,,
StartSpeakerEnrollmentJob,/#X-Amz-Target=VoiceID.StartSpeakerEnrollmentJob,POST,,,,"DataAccessRoleArn,DomainId,InputDataConfig,OutputDataConfig",Starts a new batch speaker enrollment job using...,speaker_enrollment_jobs,start_speaker_enrollment_job,exec,,,,,
DescribeSpeaker,/#X-Amz-Target=VoiceID.DescribeSpeaker,POST,,,,"DomainId,SpeakerId",Describes the specified speaker.,speakers,describe_speaker,select,,,,,
DeleteSpeaker,/#X-Amz-Target=VoiceID.DeleteSpeaker,POST,,,,"DomainId,SpeakerId",Deletes the specified speaker from Voice ID.,speakers,delete_speaker,delete,,,,,
ListSpeakers,/#X-Amz-Target=VoiceID.ListSpeakers,POST,,,,DomainId,Lists all speakers in a specified domain.,speakers,list_speakers,select,$.SpeakerSummaries,,,,
OptOutSpeaker,/#X-Amz-Target=VoiceID.OptOutSpeaker,POST,,,,"DomainId,SpeakerId",Opts out a speaker from Voice ID. A speaker can...,speakers,opt_out_speaker,exec,,,,,
ListTagsForResource,/#X-Amz-Target=VoiceID.ListTagsForResource,POST,,,,ResourceArn,Lists all tags associated with a specified Voic...,tags,list_tags_for_resource,select,,,,,
TagResource,/#X-Amz-Target=VoiceID.TagResource,POST,,,,"ResourceArn,Tags",Tags a Voice ID resource with the provided list...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=VoiceID.UntagResource,POST,,,,"ResourceArn,TagKeys",Removes specified tags from a specified Amazon ...,tags,untag_resource,exec,,,,,
DescribeWatchlist,/#X-Amz-Target=VoiceID.DescribeWatchlist,POST,,,,"DomainId,WatchlistId",Describes the specified watchlist.,watchlists,describe_watchlist,select,,,,,
CreateWatchlist,/#X-Amz-Target=VoiceID.CreateWatchlist,POST,,,,"DomainId,Name",Creates a watchlist that fraudsters can be a pa...,watchlists,create_watchlist,insert,,,,,
DeleteWatchlist,/#X-Amz-Target=VoiceID.DeleteWatchlist,POST,,,,"DomainId,WatchlistId",Deletes the specified watchlist from Voice ID. ...,watchlists,delete_watchlist,delete,,,,,
ListWatchlists,/#X-Amz-Target=VoiceID.ListWatchlists,POST,,,,DomainId,Lists all watchlists in a specified domain.,watchlists,list_watchlists,select,$.WatchlistSummaries,,,,
UpdateWatchlist,/#X-Amz-Target=VoiceID.UpdateWatchlist,POST,,,,"DomainId,WatchlistId",Updates the specified watchlist. Every domain h...,watchlists,update_watchlist,update,,,,,
