operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchUpdateRule,/services/{serviceIdentifier}/listeners/{listenerIdentifier}/rules,PATCH,"listenerIdentifier,serviceIdentifier",,,"listenerIdentifier,rules,serviceIdentifier",Updates the listener rules in a batch. You can ...,rules,batch_update_rule,exec,,,,,
CreateAccessLogSubscription,/accesslogsubscriptions,POST,,,,"destinationArn,resourceIdentifier",Enables access logs to be sent to Amazon CloudW...,access_log_subscriptions,create_access_log_subscription,insert,,,,,
CreateListener,/services/{serviceIdentifier}/listeners,POST,serviceIdentifier,,,"defaultAction,name,protocol,serviceIdentifier",Creates a listener for a service. Before you st...,listeners,create_listener,insert,,,,,
CreateResourceConfiguration,/resourceconfigurations,POST,,,,"name,type",Creates a resource configuration. A resource co...,resource_configurations,create_resource_configuration,insert,,,,,
CreateResourceGateway,/resourcegateways,POST,,,,name,A resource gateway is a point of ingress into t...,resource_gateways,create_resource_gateway,insert,,,,,
CreateRule,/services/{serviceIdentifier}/listeners/{listenerIdentifier}/rules,POST,"listenerIdentifier,serviceIdentifier",,,"action,listenerIdentifier,match,name,priority,serviceIdentifier",Creates a listener rule. Each listener has a de...,rules,create_rule,insert,,,,,
CreateService,/services,POST,,,,name,Creates a service. A service is any software ap...,services,create_service,insert,,,,,
CreateServiceNetwork,/servicenetworks,POST,,,,name,Creates a service network. A service network is...,service_networks,create_service_network,insert,,,,,
CreateServiceNetworkResourceAssociation,/servicenetworkresourceassociations,POST,,,,"resourceConfigurationIdentifier,serviceNetworkIdentifier",Associates the specified service network with t...,service_network_resource_associations,create_service_network_resource_association,insert,,,,,
CreateServiceNetworkServiceAssociation,/servicenetworkserviceassociations,POST,,,,"serviceIdentifier,serviceNetworkIdentifier",Associates the specified service with the speci...,service_network_service_associations,create_service_network_service_association,insert,,,,,
CreateServiceNetworkVpcAssociation,/servicenetworkvpcassociations,POST,,,,"serviceNetworkIdentifier,vpcIdentifier",Associates a VPC with a service network. When y...,service_network_vpc_associations,create_service_network_vpc_association,insert,,,,,
CreateTargetGroup,/targetgroups,POST,,,,"name,type",Creates a target group. A target group is a col...,target_groups,create_target_group,insert,,,,,
DeleteAccessLogSubscription,/accesslogsubscriptions/{accessLogSubscriptionIdentifier},DELETE,accessLogSubscriptionIdentifier,,,,Deletes the specified access log subscription.,access_log_subscriptions,delete_access_log_subscription,delete,,,,,
DeleteAuthPolicy,/authpolicy/{resourceIdentifier},DELETE,resourceIdentifier,,,,Deletes the specified auth policy. If an auth i...,auth_policies,delete_auth_policy,delete,,,,,
DeleteDomainVerification,/domainverifications/{domainVerificationIdentifier},DELETE,domainVerificationIdentifier,,,,Deletes the specified domain verification.,domain_verifications,delete_domain_verification,delete,,,,,
DeleteListener,/services/{serviceIdentifier}/listeners/{listenerIdentifier},DELETE,"listenerIdentifier,serviceIdentifier",,,,Deletes the specified listener.,listeners,delete_listener,delete,,,,,
DeleteResourceConfiguration,/resourceconfigurations/{resourceConfigurationIdentifier},DELETE,resourceConfigurationIdentifier,,,,Deletes the specified resource configuration.,resource_configurations,delete_resource_configuration,delete,,,,,
DeleteResourceEndpointAssociation,/resourceendpointassociations/{resourceEndpointAssociationIdentifier},DELETE,resourceEndpointAssociationIdentifier,,,,Disassociates the resource configuration from t...,resource_endpoint_associations,delete_resource_endpoint_association,delete,,,,,
DeleteResourceGateway,/resourcegateways/{resourceGatewayIdentifier},DELETE,resourceGatewayIdentifier,,,,Deletes the specified resource gateway.,resource_gateways,delete_resource_gateway,delete,,,,,
DeleteResourcePolicy,/resourcepolicy/{resourceArn},DELETE,resourceArn,,,,Deletes the specified resource policy.,resource_policies,delete_resource_policy,delete,,,,,
DeleteRule,/services/{serviceIdentifier}/listeners/{listenerIdentifier}/rules/{ruleIdentifier},DELETE,"listenerIdentifier,ruleIdentifier,serviceIdentifier",,,,Deletes a listener rule. Each listener has a de...,rules,delete_rule,delete,,,,,
DeleteService,/services/{serviceIdentifier},DELETE,serviceIdentifier,,,,Deletes a service. A service can't be deleted i...,services,delete_service,delete,,,,,
