operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListActivatedRulesInRuleGroup,/#X-Amz-Target=AWSWAF_20150824.ListActivatedRulesInRuleGroup,POST,,,,,This is **AWS WAF Classic** documentation. For ...,activated_rules_in_rule_group,list_activated_rules_in_rule_group,select,,,,,
ListByteMatchSets,/#X-Amz-Target=AWSWAF_20150824.ListByteMatchSets,POST,,,,,This is **AWS WAF Classic** documentation. For ...,byte_match_sets,list_byte_match_sets,select,,,,,
CreateByteMatchSet,/#X-Amz-Target=AWSWAF_20150824.CreateByteMatchSet,POST,,,,"ChangeToken,Name",This is **AWS WAF Classic** documentation. For ...,byte_match_sets,create_byte_match_set,insert,,,,,
DeleteByteMatchSet,/#X-Amz-Target=AWSWAF_20150824.DeleteByteMatchSet,POST,,,,"ByteMatchSetId,ChangeToken",This is **AWS WAF Classic** documentation. For ...,byte_match_sets,delete_byte_match_set,delete,,,,,
GetByteMatchSet,/#X-Amz-Target=AWSWAF_20150824.GetByteMatchSet,POST,,,,ByteMatchSetId,This is **AWS WAF Classic** documentation. For ...,byte_match_sets,get_byte_match_set,select,,,,,
UpdateByteMatchSet,/#X-Amz-Target=AWSWAF_20150824.UpdateByteMatchSet,POST,,,,"ByteMatchSetId,ChangeToken,Updates",This is **AWS WAF Classic** documentation. For ...,byte_match_sets,update_byte_match_set,update,,,,,
GetChangeTokenStatus,/#X-Amz-Target=AWSWAF_20150824.GetChangeTokenStatus,POST,,,,ChangeToken,This is **AWS WAF Classic** documentation. For ...,change_token_status,get_change_token_status,select,,,,,
GetChangeToken,/#X-Amz-Target=AWSWAF_20150824.GetChangeToken,POST,,,,,This is **AWS WAF Classic** documentation. For ...,change_tokens,get_change_token,select,,,,,
ListGeoMatchSets,/#X-Amz-Target=AWSWAF_20150824.ListGeoMatchSets,POST,,,,,This is **AWS WAF Classic** documentation. For ...,geo_match_sets,list_geo_match_sets,select,,,,,
CreateGeoMatchSet,/#X-Amz-Target=AWSWAF_20150824.CreateGeoMatchSet,POST,,,,"ChangeToken,Name",This is **AWS WAF Classic** documentation. For ...,geo_match_sets,create_geo_match_set,insert,,,,,
