operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListAPIKeys,/#X-Amz-Target=AWSWAF_20190729.ListAPIKeys,POST,,,,Scope,Retrieves a list of the API keys that you've de...,api_keys,list_api_keys,select,,,,,
CreateAPIKey,/#X-Amz-Target=AWSWAF_20190729.CreateAPIKey,POST,,,,"Scope,TokenDomains",Creates an API key that contains a set of token...,api_keys,create_api_key,insert,,,,,
DeleteAPIKey,/#X-Amz-Target=AWSWAF_20190729.DeleteAPIKey,POST,,,,"APIKey,Scope",Deletes the specified API key. After you delete...,api_keys,delete_api_key,delete,,,,,
GetDecryptedAPIKey,/#X-Amz-Target=AWSWAF_20190729.GetDecryptedAPIKey,POST,,,,"APIKey,Scope",Returns your API key in decrypted form. Use thi...,api_keys,get_decrypted_api_key,select,,,,,
ListAvailableManagedRuleGroupVersions,/#X-Amz-Target=AWSWAF_20190729.ListAvailableManagedRuleGroupVersions,POST,,,,"Name,Scope,VendorName",Returns a list of the available versions for th...,available_managed_rule_group_versions,list_available_managed_rule_group_versions,select,,,,,
DescribeManagedRuleGroup,/#X-Amz-Target=AWSWAF_20190729.DescribeManagedRuleGroup,POST,,,,"Name,Scope,VendorName",Provides high-level information for a managed r...,available_managed_rule_groups,describe_managed_rule_group,select,,,,,
ListAvailableManagedRuleGroups,/#X-Amz-Target=AWSWAF_20190729.ListAvailableManagedRuleGroups,POST,,,,Scope,Retrieves an array of managed rule groups that ...,available_managed_rule_groups,list_available_managed_rule_groups,select,,,,,
ListIPSets,/#X-Amz-Target=AWSWAF_20190729.ListIPSets,POST,,,,Scope,Retrieves an array of IPSetSummary objects for ...,ip_sets,list_ip_sets,select,,,,,
CreateIPSet,/#X-Amz-Target=AWSWAF_20190729.CreateIPSet,POST,,,,"Addresses,IPAddressVersion,Name,Scope","Creates an IPSet, which you use to identify web...",ip_sets,create_ip_set,insert,,,,,
DeleteIPSet,/#X-Amz-Target=AWSWAF_20190729.DeleteIPSet,POST,,,,"Id,LockToken,Name,Scope",Deletes the specified IPSet.,ip_sets,delete_ip_set,delete,,,,,
GetIPSet,/#X-Amz-Target=AWSWAF_20190729.GetIPSet,POST,,,,"Id,Name,Scope",Retrieves the specified IPSet.,ip_sets,get_ip_set,select,,,,,
UpdateIPSet,/#X-Amz-Target=AWSWAF_20190729.UpdateIPSet,POST,,,,"Addresses,Id,LockToken,Name,Scope",Updates the specified IPSet. This operation com...,ip_sets,update_ip_set,update,,,,,
