operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetEncryptionConfig,/EncryptionConfig,POST,,,,,Retrieves the current encryption configuration ...,encryption_config,get_encryption_config,select,,,,,
PutEncryptionConfig,/PutEncryptionConfig,POST,,,,,Updates the encryption configuration for X-Ray ...,encryption_config,put_encryption_config,replace,,,,,
CreateGroup,/CreateGroup,POST,,,,GroupName,Creates a group resource with a name and a filt...,groups,create_group,insert,,,,,
DeleteGroup,/DeleteGroup,POST,,,,,Deletes a group resource.,groups,delete_group,delete,,,,,
GetGroup,/GetGroup,POST,,,,,Retrieves group resource details.,groups,get_group,select,,,,,
GetGroups,/Groups,POST,,,,TraceIds,Retrieves all active group details.,group_summaries,get_groups,select,$.Groups,,,,
UpdateGroup,/UpdateGroup,POST,,,,,Updates a group resource.,groups,update_group,update,,,,,
GetIndexingRules,/GetIndexingRules,POST,,,,TraceIds,Retrieves all indexing rules. Indexing rules ar...,indexing_rules,get_indexing_rules,select,,,,,
UpdateIndexingRule,/UpdateIndexingRule,POST,,,,,Modifies an indexing rule's configuration. Inde...,indexing_rules,update_indexing_rule,update,,,,,
GetInsightEvents,/InsightEvents,POST,,,,InsightId,X-Ray reevaluates insights periodically until t...,insight_events,get_insight_events,select,,,,,
GetInsightImpactGraph,/InsightImpactGraph,POST,,,,"EndTime,InsightId,StartTime",Retrieves a service graph structure filtered by...,insight_impact_graphs,get_insight_impact_graph,select,,,,,
GetInsight,/Insight,POST,,,,InsightId,Retrieves the summary information of an insight...,insights,get_insight,select,,,,,
GetInsightSummaries,/InsightSummaries,POST,,,,"EndTime,StartTime",Retrieves the summaries of all insights in the ...,insights,get_insight_summaries,select,,,,,
DeleteResourcePolicy,/DeleteResourcePolicy,POST,,,,PolicyName,Deletes a resource policy from the target Amazo...,resource_policies,delete_resource_policy,delete,,,,,
ListResourcePolicies,/ListResourcePolicies,POST,,,,TraceIds,Returns the list of resource policies in the ta...,resource_policies,list_resource_policies,select,$.ResourcePolicies,,,,
PutResourcePolicy,/PutResourcePolicy,POST,,,,"PolicyDocument,PolicyName",Sets the resource policy to grant one or more A...,resource_policies,put_resource_policy,replace,,,,,
CreateSamplingRule,/CreateSamplingRule,POST,,,,SamplingRule,Creates a rule to control sampling behavior for...,sampling_rules,create_sampling_rule,insert,,,,,
DeleteSamplingRule,/DeleteSamplingRule,POST,,,,,Deletes a sampling rule.,sampling_rules,delete_sampling_rule,delete,,,,,
GetSamplingRules,/GetSamplingRules,POST,,,,TraceIds,Retrieves all sampling rules.,sampling_rules,get_sampling_rules,select,$.SamplingRuleRecords,,,,
UpdateSamplingRule,/UpdateSamplingRule,POST,,,,SamplingRuleUpdate,Modifies a sampling rule's configuration.,sampling_rules,update_sampling_rule,update,,,,,
GetSamplingTargets,/SamplingTargets,POST,,,,SamplingStatisticsDocuments,Requests a sampling quota for rules that the se...,sampling_statistic_targets,get_sampling_targets,select,,,,,
GetSamplingStatisticSummaries,/SamplingStatisticSummaries,POST,,,,TraceIds,Retrieves information about recent sampling res...,sampling_statistics,get_sampling_statistic_summaries,select,$.SamplingStatisticSummaries,,,,
